13293046
/m/03c0v6t
/m/03c0v6t
Louis Auchincloss
1981
167 1
a 1
acting 1
adversaries 1
after 1
allbeen 1
an 1
and 6
appalled 1
are 1
aristocrats 1
as 1
at 1
attitudes 1
be 1
between 1
both 2
briefly 1
brother 1
but 2
by 2
calculating 1
conti 3
court 1
courtier 1
de 2
death 1
deployed 1
determine 1
disillusioned 1
duc 3
duchesse 1
emerges 1
episodes 1
expos 1
fact 1
famous 1
fiction 1
finally 1
first 1
for 1
from 1
glory 1
grandsons 1
great 1
had 1
he 1
highminded 1
his 4
homosexuality 1
illegitimate 1
illpedigreed 1
in 8
incest 1
into 1
intrigues 1
involve 1
is 4
king 7
la 1
later 1
legitimate 1
louis 2
madame 1
made 1
maneuvered 1
matched 1
matches 1
messenger 1
mistress 1
mixing 1
monarch 1
narrator 1
nephews 1
notorious 1
of 11
offspring 1
one 2
own 1
part 1
patron 1
poland 1
prince 1
princesses 1
prominent 1
quest 1
record 1
recounts 1
resolves 1
rumors 1
saintsimon 3
schemings 2
second 1
shift 1
sides 1
story 1
struggle 1
style 1
subvert 1
subverted 1
system 1
the 19
themselves 1
these 1
this 1
threaten 1
three 1
throughout 1
thwarted 1
to 3
toward 1
two 1
versailles 2
we 1
wedding 1
when 1
which 2
who 1
wife 2
will 1
with 2
works 1
xiv 1
years 1
young 1
