3832596
/m/0b2b3p
/m/0b2b3p
Terry Bisson

1 1
a 4
agree 1
an 1
and 3
another 1
are 1
around 1
as 1
attack 1
aurra 2
back 1
bespin 1
board 1
boba 7
bond 1
both 1
broken 1
brought 1
but 1
by 2
camps 1
casanderri 1
clone 1
control 1
count 2
develops 1
dooku 2
escapes 1
excarga 1
exchange 1
father 1
fett 6
finding 1
flees 1
for 4
force 2
forces 1
found 1
friendship 1
galactic 1
get 1
half 1
harvester 1
he 1
hides 1
him 1
himself 1
his 2
in 2
is 2
it 1
lair 1
lands 1
large 1
launch 1
leave 1
liberated 1
manages 1
meanwhile 1
meet 1
meets 1
money 1
moon 1
nameteff 1
not 1
of 1
on 4
orphan 2
out 1
outer 1
over 1
planet 4
prime 1
prison 1
prisoners 1
raxus 1
republic 1
rescue 1
search 1
seized 1
separatist 1
separatists 2
several 1
ship 3
sing 2
slave 1
snoops 1
some 1
space 1
strike 1
take 1
taken 1
taking 1
the 12
there 1
this 1
to 5
troopers 1
two 1
under 1
upon 1
was 1
were 2
what 1
when 2
which 1
who 1
with 1
young 1
