463024
/m/02cjbw
/m/02cjbw
Edward Abbey
1975-08-01
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
21stcentury 1
a 14
abbey 6
abbeys 1
abbzug 1
accuracy 1
action 1
advocates 1
air 1
always 1
american 2
an 1
and 16
are 3
as 7
assistant 1
at 1
atop 1
attack 1
attacks 1
away 1
bears 1
beautiful 1
been 1
beer 1
befouling 1
beginning 1
beret 1
big 1
billboard 1
bleeding 1
bonnie 1
book 7
bulldozers 1
burning 1
but 1
caltrops 1
cans 1
canyon 1
cars 1
character 1
characters 3
civilization 1
closes 1
club 1
colorado 1
concrete 1
considered 1
consumerism 1
continue 1
contradictory 1
creation 1
dam 2
dams 1
dave 1
dedicated 1
depicted 1
describes 1
descriptions 1
desert 1
deserted 1
despite 1
despoiling 1
destroy 1
destroying 1
destroys 1
destruction 1
detail 1
develop 1
direct 1
dismiss 1
doc 1
downhome 1
drive 1
earth 2
earthquake 1
eat 1
eccentric 1
ecologicallyminded 1
ecologicallymotivated 1
edifice 1
edward 1
elude 1
empty 1
enemy 1
environmental 1
environmentalistsnbspmdash 1
environments 1
erudition 1
evidence 1
female 1
firearms 1
first 1
flair 1
focused 1
for 7
foreman 1
form 2
four 1
from 2
front 1
gang 2
george 1
glen 1
greatest 1
green 1
group 1
guide 1
habits 1
has 1
hatred 1
have 1
hayduke 1
he 2
heart 1
himself 1
his 2
hold 1
home 1
howto 1
in 5
including 1
indians 1
influenced 1
inspiration 1
is 2
it 1
its 2
jack 1
kneels 1
land 1
law 1
liberal 1
liberalim 1
liberalism 1
liberation 1
life 1
litter 1
little 2
lot 1
made 1
main 1
many 1
may 1
mayhem 1
meat 1
media 1
memorable 1
mike 1
minor 1
misfitsnbspmdash 1
modern 1
monkeywrenchers 1
monolithic 1
mormon 1
most 2
much 1
nature 1
not 2
occasional 1
odd 1
of 16
often 1
on 2
one 1
organization 1
outdoorsman 1
own 1
passages 1
plug 1
police 1
politics 1
pollutes 1
portrayal 1
praised 1
praying 1
precision 1
presented 1
proud 1
purity 1
pursuing 1
rather 1
red 1
regard 1
remove 1
reportedly 1
resemblance 1
river 3
road 1
roadside 1
roselle 1
saboteurs 1
sacred 1
sarvis 1
scenes 1
see 1
seek 1
seen 2
seldom 2
sexualized 1
sierra 1
similar 1
skeletal 1
skilled 1
smith 2
some 1
southwestnbspmdash 1
sufficient 1
surgeon 1
system 1
team 1
temporary 1
that 3
the 35
their 4
they 3
this 1
those 1
though 1
tightlyknit 1
titular 1
to 6
together 1
trains 1
us 1
use 1
vandalism 2
veteran 1
vietnam 1
viewpoint 1
was 2
ways 1
wealthy 1
well 1
were 1
west 2
what 1
which 1
whites 1
who 1
wild 1
wise 1
wit 1
with 1
working 1
world 1
would 1
wouldbe 1
wrote 1
young 1
