7258437
/m/025xgyw
/m/025xgyw
Steven Brust
1988
a 28
about 1
absorbs 1
abused 1
accompany 1
achieves 1
actual 1
actually 1
adrilankha 1
adron 1
after 5
age 1
agrees 2
aliera 6
all 4
allows 1
also 1
an 5
and 36
angered 1
another 1
apologizes 1
appears 1
are 3
arguing 1
artifacts 1
as 7
ask 1
assassination 1
associate 1
at 4
athyra 1
attack 1
attempts 1
attention 1
aversion 1
back 3
be 1
because 1
become 1
before 2
beginning 1
begins 5
believes 1
between 1
blade 1
blast 1
blood 1
book 1
born 1
boss 3
both 1
bring 1
burial 1
business 1
but 6
by 6
called 1
can 1
capable 1
capital 1
chain 2
challenged 1
chapter 1
charts 1
childhood 1
citizens 1
city 1
cleared 1
close 1
closer 1
combat 1
come 1
comes 1
completes 1
complex 1
complicated 1
conceives 1
condition 1
conqueror 1
contains 1
contemplates 1
continue 1
continues 1
cool 1
corpse 1
corpses 1
cost 1
could 1
cousin 1
culture 3
dagger 1
dead 3
deathsgate 1
debt 1
decides 1
deciding 1
defending 1
despite 1
destroy 1
detail 1
details 1
development 1
dies 1
difficulty 1
disaster 1
discover 1
distant 1
down 1
dragaeran 7
dragaerans 3
dragon 1
dragonlord 1
dragonlords 1
duels 1
during 2
dzur 4
each 1
eastern 5
easterner 2
effects 1
empire 4
en 1
enchantments 1
end 2
enforcer 2
enforcers 1
enjoy 1
enter 2
entering 1
enters 1
escape 2
escaping 1
establishes 1
even 1
eventually 2
exchange 1
explains 1
express 1
extremely 1
face 1
fails 1
falls 1
family 1
fates 1
father 2
features 1
feel 1
fencing 1
fighting 1
finds 1
first 4
flee 1
flees 1
fluid 2
follows 1
for 5
former 1
founder 1
frees 1
friendship 1
from 4
further 1
gains 1
gangs 1
generally 1
given 1
go 1
god 1
goes 2
gold 1
grandfather 1
great 1
greatsword 1
group 1
grows 1
guards 1
hall 2
halls 3
hate 2
he 6
heir 1
held 1
her 3
high 1
him 4
himself 4
his 17
home 1
hostile 1
house 1
hurting 1
if 1
in 5
infamous 1
inform 1
informant 1
injects 1
insane 1
into 4
introduces 1
is 11
it 1
its 1
jewel 1
jhereg 5
job 5
jobs 1
joins 1
journey 2
judge 1
judgment 3
kiera 3
kieron 1
kill 2
killed 1
kills 1
kingdoms 1
knowing 1
kragar 1
labyrinth 1
lair 2
larger 1
late 1
launches 1
lavode 2
learns 5
leave 3
length 1
less 1
life 1
likely 1
live 1
longerlived 1
loraan 7
lord 1
lords 2
lose 1
magical 2
making 1
manage 1
manipulated 1
manipulation 1
masse 1
meeting 1
meets 1
mild 1
mistress 1
money 2
more 4
morganti 2
morrolan 19
mountain 4
much 2
must 2
native 1
navigate 1
nearlegendary 1
new 3
nielar 1
no 1
nominal 1
nondescript 1
not 1
number 1
of 40
off 1
on 2
one 2
only 2
operation 2
or 2
orca 1
orchestrate 1
organization 1
other 1
over 2
overlaps 1
own 1
partnered 1
parts 1
paths 2
pay 1
perform 1
performing 1
performs 1
plan 1
powerful 2
prefer 1
protective 1
purchases 1
quickly 2
quion 4
rappelling 1
reach 1
receives 3
recover 1
refuses 1
regularly 1
relative 1
renown 1
requiring 1
rescue 1
resist 1
restaurateur 1
return 1
ritual 5
runs 1
same 1
scorn 2
second 1
sent 1
separate 1
series 1
sethra 8
seventeen 1
sharpen 1
she 3
shockingly 1
short 1
show 1
simple 1
skills 1
slip 1
slips 1
smoothly 1
some 1
sorceress 1
sorcery 1
soul 3
souls 2
speak 1
specific 1
spell 1
spends 1
stabs 1
staff 4
standing 1
steady 1
steal 1
steals 1
still 1
stole 1
story 1
stream 1
stronger 1
struggle 1
successfully 1
summons 1
superior 1
swordsmanship 1
tactics 1
takes 2
talk 1
target 1
teach 1
teaches 1
technically 1
tempers 1
test 1
tests 1
than 1
that 11
the 70
theft 1
their 1
them 3
there 2
thereafter 1
they 6
thief 1
third 2
this 3
three 2
through 5
time 2
timeline 5
timelines 1
tired 1
title 1
to 42
together 1
too 1
tosses 1
towards 1
trapped 1
turf 1
turns 1
twelve 1
ultimately 1
until 1
use 1
used 1
uses 1
veins 1
vial 1
vindictive 1
vlad 48
wants 1
war 1
wards 1
was 3
weapon 1
well 1
where 1
which 2
while 1
who 4
whom 1
will 1
witchcraft 2
with 6
without 2
wizard 2
working 1
yendi 1
young 1
youth 1
