5314492
/m/0df231
/m/0df231
Barry Letts

{"/m/06n90": "Science Fiction"}
a 6
action 1
against 1
age 1
alien 1
also 1
and 4
are 1
avert 1
become 1
becomes 1
been 1
conspiracies 1
cult 3
death 1
demon 1
disaster 1
doctor 1
drugs 1
encounter 1
even 1
figure 1
fitzoliver 1
following 1
for 1
friend 1
from 1
gets 1
ghosts 1
government 1
has 1
his 1
in 3
indian 1
interested 1
investigative 1
involvement 1
is 1
island 1
it 2
jane 1
jeremy 1
journalists 1
like 1
ministers 1
navy 1
new 1
nspace 1
ocean 1
of 4
official 1
on 2
paradise 1
play 1
proposed 1
race 1
radio 1
remote 1
reveals 1
royal 1
sarah 1
situation 1
smith 1
soon 2
suggested 1
surprised 1
that 2
the 9
they 1
third 1
this 2
time 1
to 1
typical 1
unit 1
version 1
work 1
worships 1
