3822857
/m/0b1th1
/m/0b1th1
Elizabeth Berg
2000-08
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
20 1
a 17
acquaintanceand 1
agency 1
ago 2
all 1
an 1
and 10
announcement 1
as 4
at 2
band 1
basement 2
beau 1
bedroom 1
been 2
between 1
bill 1
boarder 2
boarders 1
but 3
can 1
card 1
career 1
carpenter 1
change 1
charging 1
clean 1
college 1
complicated 1
concerned 1
confused 1
content 1
couple 1
credit 1
cuts 1
dating 1
david 1
death 1
decades 1
decided 1
delighted 1
departure 1
depressed 1
determined 1
devastating 1
dilemma 1
disasters 1
doesnt 1
dollars 1
down 1
eager 1
employed 1
employment 1
everything 2
extra 1
fact 1
figures 1
find 1
finds 1
finished 1
first 2
fit 1
fitch 1
fix 1
for 5
foreseeable 1
friendly 1
from 1
further 1
generate 1
gentle 1
gets 1
giant 1
gig 1
go 1
going 1
grandmother 1
great 1
has 4
have 1
he 2
heels 1
helper 1
helps 1
her 13
herself 1
his 1
home 2
horribly 1
house 1
husband 5
if 1
in 5
income 1
initial 1
is 9
isnt 1
it 2
job 1
jobs 1
just 1
keep 1
king 1
knows 1
large 1
laundromat 1
leaves 1
life 2
longtime 1
looking 1
loves 2
lydia 3
made 1
make 1
making 1
man 1
marriage 2
marry 1
martha 1
merchandise 1
mitigate 1
more 1
morrow 1
mortgage 1
mother 3
move 2
never 1
news 1
nice 1
now 1
obsessed 1
oddly 1
of 13
off 2
on 5
other 1
out 3
over 1
own 1
payment 1
perfect 1
plan 1
play 1
portion 2
possiblea 1
puts 1
quicklythe 1
quiet 1
quite 1
rapid 1
reaction 1
reality 1
realizes 1
roommates 1
sam 10
samantha 1
second 1
septuagenarian 1
sets 1
she 12
shocked 1
shortterm 1
since 2
singing 1
solution 1
some 1
son 3
soon 1
space 1
spending 1
spree 1
starts 1
stewart 1
student 1
suddenly 1
sullen 1
take 1
takes 1
tells 1
than 2
that 2
the 13
their 1
then 1
this 2
though 1
thousands 1
throughout 1
tiffany 1
to 12
touch 1
travis 1
turned 1
two 2
up 1
upside 1
upstairs 1
utterly 1
variety 1
wants 2
well 1
when 4
which 1
who 1
with 4
working 1
works 1
worth 1
written 1
years 2
