7688547
/m/0268y9m
/m/0268y9m
Jeff Lindsay

a 11
absolutely 1
admire 1
adoptive 1
also 1
always 1
an 2
analyst 1
and 8
are 2
artistry 1
as 5
away 1
back 2
be 2
becomes 1
before 1
begins 1
believes 1
between 1
blood 1
boy 1
but 2
by 1
calls 1
careful 1
case 1
catch 1
channel 1
city 1
clues 1
code 1
comes 1
crimes 1
dark 1
deborah 1
department 1
desire 1
detective 1
dexter 9
directed 1
direction 1
disturbed 1
done 1
double 1
early 1
engrossing 1
escaped 1
fascinating 1
father 1
fellow 1
finds 1
flashbacks 1
for 3
forensic 1
foster 1
gotten 1
guilty 1
harry 3
has 1
have 2
he 5
helping 1
her 2
him 1
his 7
homicidal 1
homicide 1
how 1
idyll 1
in 3
innate 1
inner 1
into 1
investigation 1
involved 1
is 4
justice 1
keeps 1
kill 3
killer 4
killing 1
killings 1
kills 1
leave 1
life 1
manages 1
meanwhile 1
messages 1
meticulous 1
miamimetro 1
morgan 2
murder 1
murderers 1
murders 1
named 1
need 1
no 1
novel 1
of 7
on 1
once 1
other 1
out 1
passenger 1
pattern 1
people 1
police 2
positive 1
prodding 1
prostitutes 1
protagonist 1
rampages 1
rapists 1
reasonably 1
recognized 1
refers 1
reveal 1
rules 1
satisfied 1
sees 1
sending 1
serial 1
series 2
sister 1
sit 1
skill 1
slasher 1
so 1
sociopath 1
something 1
spare 1
spatter 1
sure 1
tamiami 1
taught 2
terrifying 1
that 2
the 14
them 1
these 1
through 1
ticket 1
time 1
to 10
torn 1
undesirables 1
unit 1
urges 1
vice 1
victims 1
violent 1
voice 2
was 1
way 1
well 1
when 1
while 1
who 4
with 2
work 1
works 1
years 1
