6724075
/m/0gkppx
/m/0gkppx
Jeff Smith
2002-11-06
{"/m/01hmnh": "Fantasy", "/m/01z4y": "Comedy", "/m/02xlf": "Fiction"}
20000 1
a 20
about 4
activities 1
against 2
alive 1
all 3
allies 1
already 1
also 1
an 6
and 42
anger 1
announcing 1
another 1
any 2
anyone 1
apparition 1
appearance 1
appears 1
are 6
army 4
around 2
arrest 2
arrested 1
arrive 1
arrived 1
artifact 1
as 2
assaults 1
associates 1
at 6
atheia 3
atheian 1
attack 1
attitude 1
awake 2
away 3
back 2
bartleby 1
battered 1
battle 1
be 3
beckoning 1
bee 2
been 2
bees 6
before 1
begin 1
behind 1
ben 10
blamed 1
bone 6
bones 6
break 1
briar 6
brings 1
bug 1
but 3
by 3
calling 1
carry 1
caught 1
changes 1
chase 1
chasing 1
circle 1
circles 1
city 11
closing 1
come 1
commander 1
commotion 1
concocts 1
conduct 1
confident 1
confirms 1
conflict 1
contact 1
continues 1
could 1
council 1
cousins 1
crammed 1
creatures 4
crown 4
cut 1
danger 1
days 1
death 1
deepest 1
defend 1
despite 1
destroy 2
devastation 1
discuss 2
dragon 3
dragons 6
dreaming 2
dreams 2
due 1
eastern 1
embargo 1
engraved 1
ensues 1
ever 1
everyone 2
examines 1
existence 1
expedition 1
explaining 1
explains 2
eye 1
far 1
fate 1
ferocious 2
fight 1
find 2
finding 1
fone 5
for 8
forces 1
former 1
forming 1
forthcoming 1
found 1
frequently 1
from 2
gang 1
gard 1
gate 1
gates 1
get 1
getting 1
ghost 2
giant 2
girl 1
gives 1
gold 1
gouge 1
granma 7
group 1
guard 7
guild 1
has 4
have 5
hay 1
he 8
head 1
hears 1
her 19
hiding 1
him 1
himself 1
hired 1
his 8
hold 2
horns 1
how 3
however 2
hugely 1
human 1
if 1
imposed 1
imprisoned 1
in 15
including 1
inflated 1
inhabitants 1
injured 1
inner 1
inside 2
instant 1
into 4
is 9
it 6
joined 1
journey 1
just 1
keep 1
kept 2
kingdok 1
kingdom 3
kitchen 1
knowledge 1
larger 1
last 1
late 1
later 2
leading 1
learns 1
lets 1
little 1
locust 2
locusts 2
lone 1
long 1
longer 1
lookout 1
lord 2
lore 1
loses 1
lucius 2
lunaria 2
lurking 1
lurks 1
make 1
marketplace 2
master 1
meanwhile 5
meet 2
meeting 4
meets 1
men 1
merchants 6
message 1
money 1
moonwort 1
more 1
mother 3
mountains 1
movement 2
must 1
name 1
nicknamed 1
night 2
no 1
not 1
noting 1
of 31
off 5
offer 1
old 5
on 3
once 1
one 2
only 2
onto 1
oppose 1
opposite 1
oppression 1
order 1
ordered 1
orders 1
other 1
others 1
out 1
outside 1
over 2
own 1
party 1
pawa 1
pawans 2
phoney 5
piece 1
pincer 1
place 1
plan 2
planning 1
plots 2
polar 1
prayer 2
predicting 1
presence 3
prevent 1
prices 1
princess 1
profit 1
put 1
queen 1
quietly 1
raid 1
rat 3
rations 1
reach 2
reaches 2
ready 1
real 1
refugees 1
replaced 1
resents 1
resistance 1
rest 1
rests 1
returns 1
reveals 1
revelation 1
risk 1
rooftop 2
royal 6
runs 1
rushes 2
same 1
scares 1
scene 1
search 2
secret 1
seek 1
selling 2
setting 1
shadow 1
shapes 1
she 2
short 1
shrine 1
shrines 1
situation 1
sizes 1
slip 1
smiley 2
sneak 1
sneaks 1
soldiers 1
soon 4
sooner 1
spirit 1
still 2
stone 2
story 1
streets 1
strength 1
stronger 1
strongly 1
suggests 1
survived 1
takes 2
taking 1
tanael 3
tanen 1
tarsil 4
teacher 8
teachers 1
ted 2
telling 1
tells 3
temper 1
terrorizes 1
tested 1
than 1
thank 1
that 11
the 112
their 1
them 5
themselves 1
then 1
they 5
thorn 21
though 1
through 1
time 1
tiny 1
tipped 1
to 30
told 1
too 1
top 1
towards 2
trance 1
trap 1
treasury 1
troop 1
tunnel 1
turns 1
tussle 2
two 1
underground 1
up 4
upon 1
valley 1
vast 1
vedu 1
wagon 1
walks 1
wall 1
warn 1
warns 2
warriors 1
was 1
watched 1
water 2
were 2
when 2
which 1
while 3
whispers 1
who 10
will 4
wise 1
with 13
word 3
world 1
worsening 1
young 1
youth 1
