29121910
/m/0bhbhdj
/m/0bhbhdj
Pseudonymous Bosch
2010

a 3
ages 1
an 1
and 2
at 1
awakening 1
be 1
boy 2
but 1
came 1
cass 1
confused 1
doing 1
down 1
even 1
evidently 1
fact 1
father 1
finds 1
frightened 1
from 1
ghost 1
girl 2
goat 2
has 1
he 1
hear 1
her 1
him 2
his 1
in 4
invisible 1
is 3
knowing 1
later 1
look 1
middle 1
must 1
neither 1
no 1
not 2
of 1
off 1
only 2
or 1
puddle 1
realizing 1
reflection 1
repeatedly 1
rescue 1
road 1
runs 1
see 1
sees 1
she 8
shouting 2
somewhere 1
starts 1
story 1
stuck 1
that 3
the 7
them 1
time 1
to 6
tree 1
tries 1
unknown 2
up 1
walks 1
was 1
what 1
where 1
who 1
with 1
word 1
young 1
