30610971
/m/0g9wx6q
/m/0g9wx6q
Tom Sharpe


a 3
accounted 1
all 1
and 1
appears 1
area 1
arrest 1
as 1
black 1
british 1
brush 1
called 1
calling 1
can 1
carpet 1
case 1
chief 1
collected 1
cook 3
crime 1
deal 1
eccentric 1
elephant 2
els 2
extremely 1
for 1
former 1
from 1
getting 1
gun 2
has 3
hazlestone 4
he 3
heerden 3
her 1
his 1
house 1
in 1
incident 1
incompetent 1
information 1
initially 1
involving 1
is 3
it 1
just 1
kommondant 1
konstabel 1
lethally 1
lovers 1
man 1
miss 4
murder 1
nor 1
not 1
obliterated 1
of 2
out 2
piemburg 1
placing 1
police 1
quadruplebarreled 1
quarantine 1
racist 1
reinforcements 1
resorts 1
reveals 1
scene 1
sensibilities 1
she 1
so 1
spinster 1
strange 1
subordinate 1
such 1
terrified 1
that 2
the 11
to 4
under 2
unfortunately 1
until 1
van 1
was 1
were 1
willing 1
with 3
