10610909
/m/02qk3qh
/m/02qk3qh
Graham Joyce
2001-03
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
174 1
186 1
a 25
able 1
about 2
after 2
again 7
against 1
age 1
aggressively 1
agrees 1
all 1
along 1
also 1
an 2
ancient 1
and 24
another 2
any 1
appearances 1
approximately 1
april 1
are 4
area 1
argues 1
around 1
as 4
aspects 1
at 2
attention 1
back 4
barren 1
be 1
become 1
bed 1
been 1
before 3
began 1
begin 1
beginning 2
begins 1
behind 1
being 1
believing 1
between 2
birth 1
blood 1
brad 12
break 2
bring 1
burns 6
but 3
by 1
cabin 1
calls 1
can 2
causing 1
certain 1
chases 1
classmates 1
colleague 1
college 1
concerned 1
conclusion 1
conducting 1
confides 1
consists 1
contact 1
continue 1
conversation 1
convinces 1
copulated 1
could 1
count 1
couple 2
course 1
daily 1
data 1
daughter 2
day 1
days 1
decide 1
decides 1
decision 1
deliberate 1
desperately 1
died 1
discovers 1
discuss 1
discussed 1
distraction 1
do 1
doesnt 1
doubleblind 1
down 1
dream 5
dreamer 1
dreamers 1
dreaming 3
dreams 1
dreamscape 1
dreamside 9
during 1
dwindles 1
dynamics 1
each 1
earlier 1
effects 1
egg 1
either 3
ella 11
end 1
escape 2
exercises 1
experience 1
experiment 1
experiments 3
falling 1
february 1
feel 1
few 2
figure 1
finally 2
find 6
finds 1
first 2
flashes 2
for 3
forces 1
found 1
foundation 1
four 4
frightening 1
from 3
frying 1
further 1
gave 1
girl 2
go 2
goes 1
going 1
grade 1
ground 1
group 4
had 2
hadnt 1
happening 2
happens 1
has 1
have 3
he 5
heading 1
hear 1
heard 1
her 7
him 2
himself 1
his 4
honora 15
hopes 1
how 1
however 1
hurricanestrength 1
icecovered 1
if 2
in 21
increased 1
increases 1
innes 1
interest 2
interweave 1
intimate 1
into 5
is 11
it 9
its 1
join 1
joins 1
jumping 1
lake 2
later 1
layer 1
leaning 1
lee 12
left 1
legitimately 1
less 1
lets 1
like 1
lives 1
lp 1
lucid 5
luck 1
making 1
manifest 1
matter 1
may 1
meet 3
meld 1
middle 1
miles 1
mimics 1
mirrored 1
miscarriage 1
more 1
must 1
near 1
never 1
next 1
night 1
novel 3
now 5
number 1
obnoxious 1
occurrence 1
occurrences 1
of 15
off 2
on 1
once 2
one 4
onion 1
only 2
opens 1
opposite 1
or 3
other 3
others 2
out 2
over 4
own 1
owned 1
pairs 1
pan 1
park 1
particular 1
paying 1
peeling 1
perform 1
peterson 1
phone 1
picks 1
point 1
present 1
pretending 1
problem 1
professor 5
promising 1
pulled 1
pulls 1
pursues 1
rages 1
raging 1
rapes 1
real 2
reclusive 1
rectify 1
refrigerator 1
rejects 1
relationship 1
reluctantly 1
remain 1
repeaters 2
results 1
rings 1
road 1
routine 2
rural 1
same 2
say 1
saying 2
scenario 1
scenic 1
school 1
searches 1
seclusion 1
select 1
semester 1
serves 1
session 1
set 1
setting 1
sex 1
sexual 1
share 1
shared 1
she 3
sheets 1
showing 1
shows 1
shy 1
since 1
single 1
sink 1
skilled 1
some 1
something 1
space 1
stained 1
start 1
stop 1
storm 2
students 5
study 4
takes 2
teacher 1
ten 1
tendrils 1
that 15
the 62
their 3
them 1
themselves 1
then 2
these 1
they 10
thing 1
this 6
those 1
thought 1
through 1
time 1
times 1
to 35
together 1
traveling 1
tree 2
tries 2
trip 1
try 2
twelve 2
two 2
up 5
upon 1
vacation 1
vaguely 1
variety 1
virgin 1
voice 1
wake 1
wakes 3
waking 3
wanting 1
wants 1
was 1
water 2
waters 1
weekend 1
what 2
when 1
where 1
while 1
whips 1
who 2
why 1
wishes 3
wishing 1
with 7
withdraws 1
wobbles 1
work 1
world 7
worming 1
wouldnt 1
years 3
yet 1
