17405842
/m/047c31b
/m/047c31b
Robert Swindells
1990
{"/m/03mfnf": "Young adult literature"}
a 6
about 1
adverts 1
although 1
an 1
and 8
are 2
arm 2
as 1
at 1
attractive 1
be 1
been 1
between 1
blue 1
bouncers 1
boyfriend 1
but 1
by 1
call 1
cards 1
chair 2
children 1
chippies 1
chippy 2
chippying 3
city 2
coinciding 1
coke 1
comes 1
couple 1
cousin 1
dangers 1
daughter 1
daz 3
deflects 1
developer 1
drinking 1
drives 1
duty 1
each 1
embarrassment 1
encourages 1
eventually 1
eyes 1
fall 1
fancies 1
fictional 1
first 2
friends 1
girl 1
go 2
goes 1
group 1
guard 2
has 1
he 2
her 4
him 2
his 2
id 1
in 7
ingredients 1
is 2
it 1
large 1
larry 5
leave 1
like 1
live 2
lobotomizer 1
loudly 1
love 1
made 1
may 1
moon 1
music 1
ned 2
next 1
nightclub 1
nightclubs 1
of 5
on 3
order 1
other 2
out 2
outburst 1
over 3
pause 1
picks 1
policeman 1
prompts 1
property 1
rawhampton 1
rescue 1
rum 1
run 1
rundown 1
save 1
set 1
she 4
shouts 1
show 1
silverdale 2
smiles 1
spots 1
steps 1
subbie 1
subtly 1
suburb 2
suburbs 1
tabitha 1
taking 1
tell 1
telling 1
that 2
the 16
their 1
them 2
themseves 1
they 3
thinks 2
this 1
throws 1
to 11
tries 1
tv 1
ubbies 1
up 1
very 1
visiting 2
wealthy 1
well 1
when 1
where 1
which 1
who 1
with 4
zoe 6
