1565710
/m/05bwt8
/m/05bwt8
Owen Wister
1902
283 1
a 14
act 1
action 2
adept 1
admitted 1
after 1
an 4
and 15
another 1
around 1
arrival 1
as 6
at 1
back 2
battle 1
be 3
became 1
becomes 1
been 1
begin 1
beginning 1
begins 2
bit 1
book 1
bow 1
bravery 1
bride 1
burden 1
but 2
by 3
call 1
cattle 1
close 1
come 1
conflict 2
core 1
corruption 1
couple 1
creek 1
deep 1
describing 1
different 1
down 1
duty 1
east 2
emotional 1
encounter 1
ends 1
enemy 1
episodes 1
especially 1
expected 1
faces 1
facing 1
family 3
fatal 1
fate 1
feels 1
fellow 1
five 1
forms 1
friend 2
friendship 2
from 3
gambler 1
gently 1
government 1
greataunt 1
guide 1
gun 1
had 1
handsome 1
hanging 2
happy 1
hate 2
he 3
heart 1
heavy 1
henry 2
her 1
his 7
horrible 1
horses 1
immediate 1
important 1
impressively 1
in 9
is 6
it 1
journey 1
judge 2
key 1
know 1
known 1
lack 1
later 1
leaves 1
life 3
lifelong 1
lives 1
love 1
made 1
maine 1
man 1
married 1
marry 1
me 1
medicine 1
meet 1
meeting 1
miles 1
molly 3
month 1
mountains 1
must 1
narrator 4
nature 1
necessary 1
new 1
nicknamed 1
noting 1
novel 2
of 11
off 2
on 1
one 2
ongoing 1
only 1
onward 1
out 1
participate 1
partner 1
pistol 1
places 1
point 2
pretty 1
proves 1
ranch 3
received 1
recounting 1
represented 1
resolves 1
response 1
return 1
revenge 1
revolves 1
ride 1
romance 1
roping 1
scene 1
schoolteacher 1
shootout 1
shoots 1
slowly 1
smile 1
spend 1
stark 1
starting 1
stiffly 1
story 1
stranger 2
stricken 1
sunk 1
tale 1
tall 1
teasing 1
tenderfoot 2
territory 1
that 4
the 43
then 1
they 1
thief 2
this 2
threatening 1
to 14
together 1
trampas 4
travel 1
turns 1
two 1
understand 1
unnamed 1
very 1
violence 1
virginian 11
warmly 1
weaves 1
well 1
were 1
west 1
what 2
when 1
which 2
who 3
wister 1
with 8
wood 2
wyoming 3
years 1
you 1
young 1
