2596759
/m/07qlkr
/m/07qlkr
Hans Christian Andersen

{"/m/0bxg3": "Fairy tale"}
a 12
about 1
absurd 1
across 1
act 1
af 1
affair 1
africa 1
again 1
against 1
agreed 1
al 1
aldrig 1
almost 1
already 1
am 1
amused 1
and 17
another 1
anyone 1
appearance 1
arrested 1
as 10
astonished 1
at 9
back 1
balcony 2
bange 1
bare 1
be 5
bear 1
beautiful 2
became 1
become 2
before 1
behind 1
blevet 1
bliver 2
brain 1
but 3
by 4
calm 1
cast 1
certainly 1
class 1
come 1
completely 1
condition 2
could 3
cried 1
danced 1
days 1
deed 1
den 1
der 1
det 7
did 3
dig 3
distraught 1
dog 1
door 1
doorstep 1
each 2
else 1
en 2
er 9
europe 2
eventually 1
every 1
everything 1
evil 1
executed 1
existence 1
expense 1
fact 1
fancies 1
fatter 1
fear 1
feigning 1
fell 1
finally 2
fire 1
fireplace 1
followed 1
for 2
former 2
found 1
fra 1
frail 1
free 1
frie 1
from 3
frygteligt 1
gal 1
gentle 1
give 1
gjort 1
gone 2
good 2
grew 4
grueligste 1
had 5
ham 2
han 7
hans 1
happen 1
har 2
has 2
have 1
he 18
health 1
her 1
higher 1
him 7
his 23
holde 1
house 2
how 5
however 1
human 1
i 6
if 1
ikke 1
ill 1
imagine 1
imagined 1
immediately 1
in 6
incident 1
inde 1
indeed 1
interest 2
into 1
invited 1
is 2
it 5
ja 1
jeg 6
kan 2
knock 1
kommer 1
later 1
lay 1
learned 5
likewise 1
liv 1
locked 1
lost 2
love 1
lower 1
luxurious 1
mad 1
main 1
man 10
married 1
master 4
med 1
meget 2
men 1
mennesket 1
met 2
min 1
morning 1
most 1
movement 1
much 1
my 1
naar 1
nature 1
ndvendigt 1
never 1
new 1
next 1
night 4
no 1
northern 2
not 3
now 4
object 1
observe 1
of 7
offered 1
often 2
og 2
oh 1
on 5
once 1
one 3
only 1
opleves 1
oplevet 1
opposing 1
opposite 1
other 1
out 1
over 2
overnight 1
own 1
palace 1
paler 1
part 1
passed 1
people 1
permanently 1
policy 1
poor 2
poorer 1
position 1
possibly 1
pretend 1
princess 7
prinsessen 2
proposed 1
put 1
quietly 1
real 1
really 3
reappearance 1
recover 1
refused 1
regions 1
related 1
resort 2
resting 1
retire 1
returned 1
richer 1
rigtig 1
saa 1
saadan 1
sagde 3
said 2
sand 1
sat 2
seen 1
several 1
shadow 20
shallow 1
sig 1
sit 1
sitting 1
skygge 3
skyggehjerne 1
skyggen 1
sleep 1
slowly 1
smule 1
so 1
some 1
soon 1
sounded 1
south 1
sprret 1
stakkels 2
stilhed 1
stood 1
street 1
subject 1
such 1
sudden 1
suggestion 1
suppose 1
surprise 2
take 1
talked 1
tell 1
terrace 1
terrible 2
that 9
the 52
then 1
there 2
these 1
they 3
think 1
this 1
thought 1
threatened 1
through 1
tip 1
tired 1
tnk 3
tnker 1
to 13
toes 1
together 1
told 1
took 2
trip 2
troer 2
true 1
truly 1
two 1
ud 1
ulykkelig 1
understand 1
unfortunate 1
until 1
up 2
upon 2
velgjerning 1
very 2
voyage 1
was 8
way 1
wed 1
went 2
were 2
when 4
which 1
while 2
will 1
with 5
world 1
would 4
writer 3
writing 1
wrote 1
years 3
yes 1
