236569
/m/01jbmk
/m/01jbmk
Alexandre Dumas

{"/m/03g3w": "History", "/m/050z5g": "Chivalric romance", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
100000 1
1672 1
1850 1
a 6
almost 1
and 5
as 2
at 1
baerle 1
baudry 1
be 1
beautiful 1
begins 1
best 1
between 1
black 1
bourgeois 1
brother 1
brothers 1
but 1
by 4
can 1
characters 1
city 1
comfort 1
competition 1
connection 1
considered 1
cornelis 1
cornelius 1
country 1
countrymen 1
daughter 1
de 2
described 1
does 1
dramatic 1
dumas 1
dutch 2
eighteen 1
episodes 1
equivalent 1
event 1
fame 1
fictional 1
following 1
gardeners 1
gradually 1
grand 1
grow 1
guard 1
guilders 1
haarlem 1
has 2
he 1
help 1
his 3
historical 1
history 1
honour 1
in 4
intensity 1
into 1
involving 1
is 1
its 1
johan 1
killing 1
la 1
last 1
line 1
loevestein 1
lynching 1
main 1
many 1
meets 1
minister 1
mob 1
modern 1
money 1
months 1
most 1
netherlands 1
noire 1
novel 1
of 6
one 1
only 1
originally 1
own 1
painful 1
paris 1
pensionary 1
person 1
place 1
plot 1
prime 1
prison 2
prize 1
published 1
reader 1
rescuer 1
rosa 1
roughly 1
set 1
sparking 1
story 1
succeeded 1
suddenly 1
takes 1
the 17
their 1
there 1
three 1
thrown 1
to 3
tulip 1
tulipe 1
understand 1
van 1
volumes 1
was 1
who 2
wild 1
will 1
win 1
with 3
witt 2
young 1
