21263858
/m/05f59pc
/m/05f59pc
Robin McKinley
2008

a 14
about 3
act 2
actions 2
after 1
all 1
also 2
amazing 1
an 1
and 24
appoints 1
are 2
arranges 1
as 5
asking 1
at 1
away 1
back 1
bad 1
be 4
because 1
become 1
becomes 1
been 3
bees 5
before 2
begins 2
believes 2
best 1
better 1
between 1
bidding 1
blanket 1
book 2
brother 5
but 5
by 5
can 3
care 1
caused 1
ceremonies 1
chalice 17
changed 1
choice 1
chosen 1
circle 5
clear 1
combat 4
combatants 1
comes 1
competent 2
concerned 2
continue 1
cottage 1
couldnt 1
cup 1
day 1
days 1
dead 1
decided 1
deciding 1
defeat 1
demesne 12
departs 1
describing 1
die 1
died 2
distance 1
do 3
does 2
doesnt 1
drink 1
drinks 1
during 1
duties 1
each 1
earlier 1
earthlines 1
either 1
emotions 1
end 1
especially 1
events 1
eventually 1
every 2
everyone 2
few 1
fight 1
find 1
fire 2
first 1
for 8
forced 1
former 1
from 3
give 1
good 1
grand 4
greet 1
had 2
happen 1
happily 1
hardly 1
has 8
have 2
havent 1
having 1
he 8
heir 4
help 1
helping 1
her 10
herself 1
him 2
himself 1
his 6
hold 1
honey 4
house 2
how 1
if 2
in 10
inhabitants 1
insult 1
insulted 1
interact 1
intuition 1
involved 1
is 7
it 5
its 1
itself 1
job 2
join 1
kill 1
killed 2
know 1
knows 1
larger 1
later 1
learns 4
left 2
life 1
live 1
living 1
lot 1
manuscript 1
many 2
marry 2
master 22
mastership 1
mentally 1
mirasol 2
mixes 1
months 1
most 1
much 2
must 2
near 1
need 1
needs 1
neglected 1
never 1
new 7
no 2
normal 1
normalcy 1
not 3
nothing 1
nowdead 1
occasion 1
of 28
off 1
offers 1
old 1
older 1
on 1
one 3
only 2
operating 1
opposed 1
or 1
orders 1
out 1
overlord 3
own 2
parents 1
peasant 1
people 4
performs 1
period 1
physically 1
pleasure 1
positions 1
possible 1
pour 1
power 1
priesthood 1
priests 1
process 1
produce 1
produced 1
protect 1
put 1
raises 1
rather 1
read 2
realize 1
reason 1
repairs 1
resign 1
rest 2
return 1
returns 1
sake 1
say 1
see 1
seem 1
seems 1
seneschal 4
sent 2
seven 2
she 16
should 2
since 1
single 1
so 3
some 2
something 1
special 3
story 1
succeed 3
succeedthey 1
supported 1
supposed 1
surprise 1
swords 1
take 1
tells 1
than 2
that 18
the 95
their 2
there 1
these 1
they 6
things 2
thinks 1
this 6
time 2
to 26
training 2
transform 1
types 1
understand 1
unprecedented 1
until 1
use 2
used 1
various 1
very 1
vessel 1
walking 1
want 3
wants 2
was 6
way 1
ways 1
welcomed 1
welcoming 1
what 4
when 1
which 1
who 1
why 1
will 5
with 7
within 1
would 1
written 1
years 1
younger 1
