1130241
/m/048wds
/m/048wds
Stephen Baxter
1998-08-03
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
170 1
18 1
a 7
about 1
abundant 1
accidentally 1
action 1
actually 1
agencies 1
albeit 1
alien 1
all 1
along 1
also 3
alternate 1
an 5
and 7
apollo 1
are 3
around 1
as 5
baxter 1
been 1
before 1
begins 1
billions 1
book 1
by 3
called 1
cancelled 1
cataclysmic 1
catastrophically 1
change 1
cities 1
civilization 1
clue 1
collective 1
colonization 1
combines 1
contain 1
containing 1
continents 1
core 1
cosmic 1
could 1
course 2
critical 1
desperately 1
destroyed 1
die 1
dimension 1
disaster 2
disciplines 1
disintegrate 1
disintegrates 1
during 1
earth 7
earthquakes 1
edinburgh 2
else 1
engineers 1
eroding 1
erosion 1
eruptions 1
event 1
eventually 1
exploration 1
explosion 1
exponentially 1
fail 1
falls 1
fate 1
feet 1
first 1
focus 1
for 3
forced 1
form 1
from 4
future 1
geology 1
gets 1
goo 1
grey 1
happen 1
happening 1
has 1
haven 1
heats 1
host 1
human 1
humanity 2
humans 1
ideas 1
in 6
inorganic 1
insideout 1
into 3
is 6
it 2
kingdom 1
last 1
literally 1
many 1
matter 1
mission 1
moon 1
moondust 1
moonseed 6
more 1
much 1
mysterious 1
nanobots 1
nasa 2
nothingness 1
novel 2
nuclear 1
numerous 1
of 14
on 3
onto 1
or 1
over 2
people 1
performance 1
planet 1
possibly 1
power 1
presents 1
probe 1
programs 1
provide 1
radiation 1
returned 1
rock 2
rocks 1
safe 1
scientists 1
sealed 1
showers 1
some 1
somehow 1
something 1
space 3
spacefaring 1
stages 1
starts 1
stations 1
stephen 1
stirs 1
streets 1
substance 1
surface 1
surviving 1
swept 1
tale 1
tell 1
terraform 1
that 3
the 27
theories 1
theory 1
thirty 1
this 1
to 7
transferred 1
travel 1
try 1
under 1
united 1
unknown 1
up 1
vanish 1
venus 3
virus 1
volcanic 1
was 1
we 1
well 1
what 2
when 2
where 2
whether 1
which 2
while 1
with 2
world 1
years 1
