971839
/m/03vkf8
/m/03vkf8
David Brin
1987
10000 1
100000 1
248 1
50000 1
a 14
able 1
about 4
abused 1
accident 1
acquires 1
actually 1
adopt 1
adoption 1
advantage 1
afoul 1
after 1
against 3
ago 1
alien 1
aliens 1
all 3
allies 3
allow 1
along 1
already 1
also 1
ambassador 3
ambassadors 2
among 1
an 6
and 33
animals 1
another 1
antidote 1
are 8
around 1
as 13
aside 1
aspirants 1
assistance 2
at 1
athaclena 3
attempt 3
avian 1
back 1
balance 1
battle 1
be 3
because 1
been 2
before 2
began 1
begin 1
beginning 1
begins 2
behavior 1
being 2
believe 2
between 2
beyond 1
biosphere 1
bolger 5
book 1
both 2
breed 1
breeding 1
brought 1
builds 1
bururalli 3
but 1
by 8
cache 1
can 1
capital 1
caution 1
cehttpwwwreocitiescomarea51corridor8611brinhtm 1
characters 2
chimps 2
choose 1
city 1
civilization 2
claim 2
clients 1
cocommanders 1
coincidentally 1
combat 1
combination 1
come 2
comes 1
commanders 1
complete 1
conflict 1
confrontation 1
conservative 1
consisting 1
conspirator 1
continue 1
contrast 1
controlled 2
coopt 1
coordinator 1
cost 1
costly 1
could 1
create 1
creatures 1
damage 1
dark 1
daughter 1
decades 1
defend 2
demoted 1
depart 1
desperately 1
destroyed 1
diplomacy 1
diplomatic 1
discovery 1
disturbed 1
dolphin 1
dour 1
down 1
duties 1
earth 2
earthclan 7
earthling 1
earthlings 2
easily 2
ecological 1
ecologically 1
ecosphere 1
ecosystem 1
effort 1
ejected 1
elaborate 1
elsewhere 1
en 1
end 2
engage 2
enormously 1
ensure 1
entire 1
eventually 1
evidence 3
evolution 1
exchange 1
existence 1
expedition 1
expensive 1
expert 1
exploit 1
fabled 1
factfinding 1
fall 1
false 1
fate 1
father 1
fear 1
feelings 1
fester 1
few 1
fiben 5
final 1
find 1
fleeing 1
follow 1
following 1
fool 2
for 8
force 1
forced 2
forces 2
fortuitously 1
forward 1
found 1
free 1
from 4
full 1
further 1
furtive 1
galactic 5
garth 12
garthling 2
garthlings 5
gas 2
getting 1
goals 1
gorillas 2
government 1
granted 1
greater 1
ground 1
group 1
gubru 15
guerrilla 1
guide 1
had 1
hanging 1
have 4
having 1
he 1
helenia 1
hiding 1
high 1
him 1
his 2
hold 1
holocaust 1
hoping 1
hostage 3
however 2
human 3
humans 4
humor 1
humorless 1
hundred 1
hypershunt 3
if 1
illegally 1
imaginings 1
immediately 1
imperil 1
in 20
indenture 1
indigenous 1
inflict 1
ingenuity 1
instructs 1
internal 1
invade 2
invasion 1
irongrip 2
is 9
island 1
isolated 1
its 2
join 1
joke 2
kault 2
keeping 1
kept 1
key 1
killed 3
kilometers 1
known 2
land 1
large 2
law 1
leaders 1
learn 1
lease 1
leased 1
led 1
legal 2
lenient 1
limited 1
losses 1
love 1
low 1
lower 1
made 1
major 1
make 1
maneuverings 1
many 1
meaning 1
megan 1
mishandled 1
more 2
most 3
motivates 1
mountains 2
movement 1
much 3
must 2
myth 1
nahalli 1
naivete 1
nearly 1
nearplanetary 1
needed 1
neochim 1
neochimp 4
neochimpanzee 2
neochimpanzees 3
neochimpdom 1
neochimps 1
norms 1
not 1
novel 2
observers 1
of 34
on 14
one 2
oneagle 3
or 2
order 1
original 1
other 2
others 1
out 1
overcome 1
overhunting 1
overpower 1
overreact 1
own 1
partially 1
passed 1
patriotic 1
patrons 2
personal 1
physical 1
physically 1
place 1
planet 5
planetary 2
planning 1
plants 1
pointing 1
poisonous 1
population 5
port 1
portion 1
portrayed 1
possible 1
power 1
practical 1
preparing 1
preplanned 1
presentient 1
preserve 1
process 3
profit 1
progenitors 1
propriety 1
protectors 1
psychological 1
punctilio 2
race 4
races 2
rather 1
ready 1
receive 1
recovery 1
relatively 1
remaining 1
repair 1
representatives 1
resentments 1
resistance 3
resolve 1
responsibilities 1
return 1
right 1
rights 3
rising 1
ritualistic 1
robert 2
route 1
rumored 1
runs 1
safely 1
scheming 1
secret 2
secretly 1
seizes 1
sense 1
sensitive 1
sentience 1
sequestered 1
set 1
several 2
shot 1
side 1
significant 1
situation 1
situations 1
slaves 1
small 1
social 1
society 1
soldier 1
some 3
somewhat 1
son 1
space 2
spaceship 1
species 3
starlanes 1
start 1
startide 1
still 1
stolen 1
strata 1
streaker 1
struggles 1
subterfuge 1
subvert 1
succeeds 1
successfully 1
supercilious 1
surprise 1
survey 1
survived 1
surviving 2
suzerain 2
suzerains 3
take 2
taking 1
tasked 1
teenaged 1
than 2
that 10
the 90
their 16
them 4
thennanian 1
thennanians 1
thennanin 3
there 2
they 1
those 2
three 1
to 39
token 1
town 1
trek 1
trying 1
two 2
tymbrimi 4
ultimately 1
unable 1
under 2
unknown 1
unprepossessing 1
up 2
uplift 6
uplifted 1
uplifting 1
use 1
used 1
using 1
uthacalthing 7
warfare 1
was 2
weak 1
weigh 1
well 1
wellknown 1
were 1
when 1
which 2
while 2
who 1
wildest 1
will 2
with 7
within 1
without 1
witnessed 1
wolfling 1
working 1
year 1
years 3
yen 1
young 1
ztang 1
