32097675
/m/0gx2qqv
/m/0gx2qqv
Claudia Gray
2011-03-03
a 13
about 3
accepts 1
accompany 1
after 3
again 1
agree 1
agrees 1
allows 1
also 1
although 2
and 22
angry 1
annoyance 1
apparate 1
appear 1
are 6
arrive 1
as 4
assisted 1
at 2
attacked 1
autumn 1
ball 2
balthazar 1
battle 1
be 3
became 1
become 1
been 2
before 6
being 2
beings 1
bethany 9
between 2
bianca 17
black 1
blame 1
blood 3
bloodlust 1
both 1
bracelet 1
bridge 2
but 4
by 10
cafe 1
called 1
calls 1
can 4
cannot 1
caught 2
christopher 2
collapses 1
confused 1
consumed 1
contain 1
convince 1
coral 1
cottage 1
could 1
creating 1
cross 1
daughter 1
days 1
dead 1
designed 1
destroyed 1
died 2
disagrees 1
dreams 1
drinks 2
ensues 1
escape 1
eternal 1
evernight 2
everything 1
father 1
feels 1
fellow 2
finds 1
finishes 1
float 1
following 1
for 6
form 1
free 1
freed 1
frees 1
friends 2
from 2
fully 1
get 1
go 1
goes 2
going 1
gravely 1
had 1
happening 1
happens 1
harmed 1
has 3
he 6
heaven 1
help 3
helping 1
helps 1
her 15
hers 1
him 3
his 5
how 3
human 8
husband 1
in 3
including 1
infuses 1
inhibit 1
into 2
intruding 1
involves 1
is 18
it 4
killing 2
large 1
late 1
later 1
leave 3
leaves 1
library 1
life 2
light 1
like 1
local 1
longer 1
look 1
lucas 14
manages 1
maxine 2
members 1
mirror 1
mixture 1
more 1
mother 2
mrs 9
much 1
murder 1
murdered 1
mutilated 1
night 1
no 2
of 5
offers 1
on 5
one 1
other 1
out 1
parents 4
patrice 1
place 2
planned 1
plans 2
police 1
possessed 1
possesses 1
powerful 2
previously 1
pupils 1
ranulf 1
reach 1
realize 1
reflects 1
released 1
rest 1
resurrected 2
return 2
returning 1
reunited 1
revealed 1
reveals 1
rises 1
room 2
sacrifice 1
school 1
search 1
seek 1
series 1
set 3
several 2
shaken 1
she 12
shelter 1
skye 1
so 3
something 1
stopped 1
students 1
supernaturals 1
switches 1
taking 2
tell 1
tells 1
that 5
the 26
their 2
they 3
think 1
to 29
told 2
too 2
town 1
trap 3
trapped 2
traps 2
trip 1
until 1
up 2
upon 1
used 1
using 1
vampire 1
vampires 2
visit 1
warned 1
was 3
weaken 1
were 1
what 2
when 3
which 3
while 3
who 7
willing 1
with 2
witnesses 1
world 4
worlds 1
wounded 1
wraith 2
wraiths 9
