6555945
/m/0gbc4d
/m/0gbc4d
Gwen Bristow

18yearold 1
a 20
about 3
accepts 1
actress 2
adventure 1
after 5
all 1
allowed 1
also 2
although 1
amid 1
among 1
an 3
and 42
angeles 1
appreciation 1
are 3
around 1
arrest 2
arrival 1
arrive 2
arrives 1
as 6
at 2
attitude 1
away 1
baby 1
back 1
basically 1
be 2
become 1
been 2
before 1
begin 1
begins 1
being 1
beyond 1
birth 1
blonde 1
born 1
both 3
bravery 1
bring 1
brother 3
brought 1
build 1
business 2
but 3
buy 1
by 7
california 11
californian 1
californio 1
called 1
cameron 1
care 1
charles 10
child 1
city 2
closes 1
comes 1
continues 1
control 1
controlling 1
convinces 1
couple 1
cross 1
dance 1
daughter 1
day 1
deacon 2
death 1
decide 1
decision 1
delighted 1
determination 1
dies 1
dinner 1
direction 1
discover 1
discovered 1
discovers 1
disguising 1
do 1
done 1
dorn 1
drama 1
drawn 1
drop 1
drops 1
drunk 1
due 1
during 1
earthquake 1
east 1
eats 1
emotional 1
end 1
endure 1
enjoys 1
equal 1
escape 1
estate 1
evening 1
excitement 1
exhaustion 1
expected 1
fact 1
fall 1
falter 1
fascinated 1
fast 1
father 1
fe 3
fellow 1
finally 2
find 1
finds 1
finishing 1
first 1
florinda 15
flower 2
following 1
for 8
friend 1
friends 3
friendship 1
friendships 1
from 10
frontier 1
gain 1
garden 2
garnet 34
gave 1
girl 2
gold 1
gotten 1
gradual 1
graduated 1
grandeur 1
grateful 1
great 1
griefstricken 1
grove 1
grows 1
had 2
hale 3
hall 1
hallways 1
happily 1
hardgoing 1
hardships 1
harsh 1
has 3
hates 1
have 1
he 10
help 1
her 20
herself 3
hiding 1
him 3
his 4
hotel 1
human 1
immediately 1
in 14
including 1
into 1
introduced 1
is 23
it 2
ives 3
john 6
joining 1
journey 2
jubilee 1
juliette 3
just 1
kills 2
la 1
lack 1
last 1
leave 2
leaves 1
leaving 2
lets 1
letter 2
life 1
lives 1
longs 1
los 1
louis 5
love 1
magnificent 1
make 1
makes 2
man 5
march 1
marriage 1
married 3
marry 1
marrying 1
meeting 1
meets 1
men 2
midst 1
mill 1
months 1
most 1
move 1
mr 2
much 1
murder 1
murdered 1
must 1
mutual 1
name 3
named 1
native 1
nearly 1
never 1
new 9
next 1
no 1
north 1
not 1
notable 1
now 1
of 24
oliver 24
on 7
once 1
opportunity 1
orleans 2
other 1
out 4
outgoing 1
partner 1
penrose 1
performance 1
plains 1
plan 1
prairie 1
pregnant 1
presence 1
promising 1
property 1
proposes 1
questions 1
quickly 3
rage 1
rancho 3
real 1
reality 1
realizes 2
reduced 1
rejoicing 1
rekindle 1
reluctant 1
rescued 1
respect 2
return 3
reunited 1
reveals 1
revelation 1
riveted 1
russian 1
saloon 1
santa 3
scenery 1
school 1
schooling 1
secret 1
see 1
selkirk 2
sending 1
sends 1
set 1
several 2
share 1
she 10
sheer 1
shocked 1
shortly 3
show 1
silky 1
sin 1
society 1
something 1
sometime 1
son 3
spots 1
st 5
stage 1
standoffish 1
states 1
staying 1
stoicism 1
stops 1
storms 1
story 2
strong 1
subject 1
succumbs 1
such 1
summer 1
supplies 1
sutter 1
take 3
taken 1
takes 1
talent 1
tales 1
talk 1
talks 1
telling 1
tells 3
temperatures 1
territory 1
texas 1
that 13
the 55
their 4
them 1
themselves 1
they 5
things 1
this 2
thought 1
to 39
too 1
tour 1
town 1
trader 1
traders 3
trail 6
train 1
travel 3
traveling 1
treats 1
trip 1
try 1
trying 1
tryst 1
turmoil 1
two 1
united 1
unknown 1
up 1
upperclass 1
van 1
very 1
wants 2
warming 1
was 5
water 1
wealthy 2
west 3
when 2
where 1
which 1
while 2
who 4
whom 1
wideeyed 1
widow 1
will 5
with 15
woman 2
women 1
wonder 1
would 1
year 2
york 6
young 3
