4228194
/m/0br20y
/m/0br20y
Ken MacLeod
1995
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 12
against 1
age 1
among 1
an 2
and 4
are 2
artificial 1
as 3
at 3
augmentation 1
automated 1
autonomous 1
back 1
basic 1
best 1
book 1
break 2
by 1
caught 1
cause 1
center 1
certain 2
characters 1
clean 1
conditions 1
controlled 1
course 1
dangerous 1
death 1
defense 1
directions 1
directly 2
doesnt 1
earth 1
efficient 1
end 1
enforce 1
enforced 1
everyone 1
evolved 1
financial 2
find 1
form 1
from 1
fundamentalist 1
global 1
has 1
idealistic 1
in 3
intelligence 2
intelligent 1
into 1
involved 1
is 6
it 1
knocking 1
lasers 1
laws 2
libertarian 1
lowintensity 1
main 1
make 1
many 1
mercenary 1
metadictatorship 1
microstate 1
microstates 2
might 1
much 1
nearconstant 1
number 1
of 12
on 3
or 1
orbital 1
order 1
out 1
paranoid 1
partially 1
planet 1
planned 1
precisely 1
prohibited 1
prohibition 1
prohibitions 1
proposition 1
raised 1
reached 1
research 2
result 1
revealed 1
revolution 2
rule 1
scientific 1
scientist 1
secret 1
semibenign 1
series 1
set 1
so 1
software 2
sort 1
stakes 1
state 1
stone 1
such 1
swift 1
teenager 1
that 1
the 19
them 1
themselves 1
to 3
trotskyist 1
up 1
using 1
usun 3
vast 1
violation 1
warfare 1
was 1
were 1
what 1
when 2
which 2
will 1
with 2
world 1
