5191594
/m/0d71s7
/m/0d71s7
David Feintuch

{"/m/014dfn": "Speculative fiction"}
a 17
abilities 1
able 1
action 1
admiral 1
adrift 1
after 1
alien 1
all 1
also 1
amanda 3
amoeba 1
an 5
and 13
another 1
any 1
are 2
arrives 1
as 2
assaulting 1
assignment 1
at 2
attacks 1
attempt 1
attractive 1
authority 1
back 3
backup 1
barbaric 1
barge 1
be 4
beats 1
because 1
becomes 1
been 1
before 1
begs 1
believes 1
believing 2
boarding 1
boards 1
broke 1
but 5
by 4
can 1
cancer 1
cannot 1
captain 3
captaincy 1
careless 1
cause 1
chain 1
challenge 1
charge 1
civilization 1
clear 1
colonies 1
colony 1
command 3
commanders 1
commanding 1
commuted 1
computer 1
conceal 1
condemned 1
confinement 1
continues 1
corridor 1
corrupted 1
couple 1
crew 3
crewmen 2
danger 1
dangers 1
darla 2
deal 2
death 2
deaths 1
decision 1
deserted 2
despite 1
detect 1
detour 2
died 1
dies 1
difficult 1
disabling 1
disastrous 1
discovers 2
dismisses 1
does 1
doing 1
down 1
drugmaking 1
dumped 1
during 2
earth 1
elevating 1
encounters 1
ends 1
epidemic 2
escape 1
estranges 1
eventually 1
executions 1
expects 1
explosion 1
extremely 1
faced 1
falls 1
fantasy 1
feels 1
find 1
finds 3
first 1
fix 1
follow 1
for 4
force 1
forces 1
form 1
former 1
fortunately 1
friendships 1
from 3
frowel 1
garrison 1
get 1
haag 2
had 2
handling 1
hanged 1
harv 1
has 6
have 1
he 9
her 1
hibernia 4
hibernias 1
hiding 1
him 4
himself 3
his 9
holds 1
holser 2
hope 4
hopelessly 1
horror 1
however 2
hull 1
ill 1
immediately 1
in 13
injured 1
interstellar 1
into 1
intruders 1
investigate 1
is 6
it 4
its 2
journey 1
junior 1
killed 1
leadership 1
leads 1
leaving 1
led 1
leg 1
lieutenant 2
lieutenants 1
life 1
local 1
long 1
mad 1
maelstrom 2
malstrom 3
man 1
manages 1
massive 1
men 2
meteors 1
midshipman 2
mining 1
miningcamp 1
months 1
most 1
mountains 1
mutineers 1
mutiny 1
nation 4
naval 3
new 1
news 1
next 4
nicholas 1
not 2
of 19
off 1
offcourse 1
officer 2
officers 4
on 5
one 1
only 1
operation 1
opinion 1
ore 1
other 2
otherwise 1
out 3
outside 1
over 1
overdue 1
panic 1
party 1
passenger 2
penalty 1
permit 1
personnel 1
planet 1
points 1
poor 1
problem 1
programmers 1
promote 1
punishment 1
quells 1
quickacting 1
reaches 1
rebellion 1
reconciled 1
recruits 1
regroup 1
regulations 1
relieve 1
relieved 1
rents 1
report 1
rescue 1
resembling 1
residents 1
resolute 1
responsible 2
rest 1
restored 1
resulted 1
results 1
return 1
revolt 1
run 1
saw 1
seafort 20
secondincommand 1
senior 3
sensors 1
sent 1
sentence 1
sentient 1
sergeantatarms 1
seventeenyearold 1
several 2
share 1
sheer 1
ship 6
shortly 1
sightseeing 1
singlehandedly 1
situation 2
sky 1
small 1
so 1
something 1
space 3
spraying 1
starship 1
station 1
stop 3
story 1
strange 2
strikes 1
stubbornness 1
surviving 1
system 2
take 1
takes 1
telstar 3
that 7
the 57
their 4
them 1
then 2
they 1
third 2
this 1
thoroughness 1
three 1
threeyear 1
to 30
tour 1
trip 1
trouble 1
try 2
two 3
unharmed 1
uninhabitable 1
unpopular 1
unqualified 1
unruly 1
uns 1
until 1
up 1
vax 1
viral 1
voyage 1
warn 1
was 3
when 5
which 1
while 1
who 4
whom 1
wife 1
with 9
without 1
would 1
wreck 1
