21316627
/m/046vw57
/m/046vw57
Charlaine Harris
2003
{"/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/039vk": "Gothic fiction"}
a 11
able 1
actually 1
advances 2
after 2
agrees 1
aids 1
aiming 1
alcide 7
all 1
along 1
alongside 2
also 1
an 3
and 19
angered 1
angrily 1
another 2
antivampire 1
apartment 1
as 6
asks 1
assailant 1
at 6
attack 1
attacks 1
attention 1
away 1
bar 1
be 1
been 3
before 1
being 3
betrayal 1
bill 15
blood 1
body 2
both 1
breaks 1
bubba 3
building 1
but 5
by 6
can 1
captive 1
car 1
circulate 1
closet 1
club 5
come 3
comes 1
community 1
complete 1
compound 1
compromise 1
computer 1
confrontation 1
confronted 1
continue 1
dallas 1
date 1
dawn 1
day 2
days 1
dead 6
debbie 1
december 1
deprived 1
despite 1
discover 1
discovers 1
disposing 1
drive 1
due 1
duo 1
edgington 7
eliminate 1
eliminated 1
employees 2
ends 1
engagement 1
eric 12
escort 2
escorts 1
exgirlfriend 1
falls 1
featured 1
fed 1
feeds 1
fellowship 2
for 5
forces 1
former 1
frees 1
friend 1
from 1
furious 1
gas 1
generally 1
gone 1
had 3
harm 1
has 3
have 1
he 7
head 1
heads 1
held 1
help 1
her 14
herself 2
herveaux 1
him 1
himself 1
his 5
home 3
house 2
however 1
humans 1
if 1
in 16
informs 2
inside 1
insists 1
intent 1
interrogate 1
intimate 1
into 2
introduced 1
invitation 1
invites 1
involved 1
involvement 1
is 13
it 1
its 1
jackson 2
jealous 1
josephine 1
killed 1
killing 1
king 2
known 1
later 2
learns 1
life 1
liking 1
living 1
local 1
locate 1
locked 1
looking 1
lorena 3
louisiana 1
lover 1
maker 1
making 1
manages 1
mansion 1
medical 1
meets 2
merlotte 1
missing 1
mississippi 5
moment 1
need 1
next 3
night 4
no 1
not 1
novel 2
of 13
on 7
one 2
onto 1
or 1
ordeal 1
order 1
orders 1
organization 1
out 2
own 2
party 1
patron 2
pelt 1
personality 1
physically 1
physique 1
place 1
poolhouse 1
poolhouses 1
possible 1
possibly 1
presenting 1
preventing 1
program 2
project 2
prominently 1
provoking 1
queen 1
raid 1
realizing 1
rebuffing 1
receive 1
receives 1
rescinds 1
rescued 1
retrieve 1
returns 1
revealed 1
robbers 1
route 1
russell 3
same 1
secret 1
secretive 1
sent 2
several 1
sexual 1
sexually 1
shapeshifter 1
shares 1
she 6
shocked 1
since 2
sleep 1
sleeping 1
sookie 26
speaks 1
special 1
spot 1
stake 1
staked 1
staking 1
states 1
station 1
summoned 1
sun 1
supernatural 1
suspicions 1
taken 1
takes 2
tara 1
targeting 1
telepathy 2
tell 2
territory 1
that 6
the 22
their 3
them 1
then 2
they 2
this 1
thornton 1
to 21
tortured 1
travel 1
trunk 1
two 1
unable 1
unwanted 1
up 3
utilize 1
vampire 5
vampires 2
wait 1
wakes 1
war 1
way 1
week 1
well 1
were 1
werewolf 2
werewolves 2
when 3
where 2
while 2
who 2
whole 1
will 2
wishes 1
with 6
without 1
working 2
