16320519
/m/03wgvyb
/m/03wgvyb
David Sedaris
2008-06-03
{"/m/01tz3c": "Anthology", "/m/02t97": "Essay"}
100000 1
a 6
and 2
another 1
armoring 1
as 1
assembles 1
associations 1
backside 1
boil 1
book 1
brown 1
buying 1
carolina 1
coffee 1
company 1
copies 1
countryside 1
covers 1
drugs 1
essays 1
fall 1
fellow 1
firstrun 1
french 1
from 3
hardcover 1
having 1
home 1
house 1
in 3
into 1
is 1
issued 1
japan 1
lancing 1
lap 1
little 1
lozenge 1
lp 1
make 1
mobile 1
mouth 1
neurotic 1
north 1
of 2
off 1
on 2
passenger 1
plane 1
protect 1
quit 1
release 1
rural 1
sedaris 1
shut 1
situations 1
sixth 1
smoking 1
songbirds 1
such 1
the 4
to 4
trying 1
various 1
venturing 1
water 1
when 1
windows 1
with 1
your 1
