18172194
/m/04cxg0s
/m/04cxg0s
Ishmael Beah
2007-02-13
16 2
57 1
a 16
able 2
about 2
abroad 1
accepted 1
according 1
adopted 1
after 2
afterwards 1
again 1
alhaji 1
also 3
although 1
among 1
an 2
and 31
announced 1
another 5
are 8
armed 2
army 4
around 1
as 6
ask 1
assault 1
assumes 1
at 3
attacked 2
attacks 2
away 1
back 2
bananas 1
be 1
beah 1
because 1
becomes 3
becoming 1
before 2
beginning 1
being 3
believing 2
blame 1
bodies 1
book 2
border 1
both 1
boys 8
brother 2
brown 2
burning 1
but 2
by 13
calls 1
can 1
capital 1
captured 1
carry 1
cassette 1
caught 1
cause 1
caused 1
causing 1
chaperone 1
charge 2
chased 1
child 6
childhood 1
children 4
choice 1
chosen 1
city 3
civilian 1
coast 2
combination 1
connection 1
contact 1
contribute 1
counseling 1
countries 1
country 1
crosses 1
dance 1
day 1
days 1
dead 2
death 1
deaths 1
decide 2
decides 1
described 1
despite 1
devastated 1
dies 1
doing 1
down 1
drug 2
drugs 1
during 3
each 1
effort 1
either 1
encounter 1
enlisting 1
escape 1
escapes 1
esther 2
eventually 3
executing 1
experiences 2
experiencing 2
exposed 1
extreme 1
facility 1
families 1
family 4
farming 1
fear 1
fled 2
flee 1
following 2
for 7
forces 2
forest 1
former 1
foster 1
found 1
freetown 4
friend 5
friends 2
from 10
future 1
gasemu 5
get 1
gibrilla 1
go 1
government 1
grounds 1
group 4
guinea 1
had 1
happens 1
he 7
head 1
heal 1
help 2
him 3
himself 1
his 26
home 2
hometown 1
house 1
however 2
ibrahim 1
if 1
in 24
including 1
indeed 1
interested 1
into 5
invaded 1
is 13
ishmael 24
it 6
january 1
jong 4
junior 6
just 1
kaloko 1
khalilou 1
killed 1
knew 1
laura 2
learning 1
learns 1
leave 1
leaving 2
leone 6
leonean 1
lieutenant 4
life 1
lived 1
locate 1
longer 1
love 1
makes 1
malady 1
man 2
many 5
marijuana 1
mattru 4
meet 1
meeting 2
meets 2
memories 1
men 1
mental 1
met 1
mogbwemo 1
moments 1
months 1
more 1
most 1
mother 1
much 1
multiple 1
music 2
must 1
named 1
nations 1
new 2
no 2
not 3
numerous 1
nurse 1
occupied 1
of 22
old 1
older 1
on 7
one 3
option 1
or 2
order 3
other 6
others 1
out 1
outside 1
outskirts 1
parents 1
people 2
perform 1
pills 1
plaguing 1
present 1
prisoners 1
problems 2
protected 1
purchasing 1
put 1
rap 3
reach 2
rebels 1
recognizes 1
refugees 1
refused 1
rehabilitated 1
remaining 1
return 1
returns 1
roams 1
roll 1
round 1
ruf 7
run 1
saddened 1
safe 2
safety 1
said 1
search 1
secures 1
see 1
self 1
settle 1
settles 1
several 3
she 1
shelter 1
shirts 1
shot 1
show 1
sierra 7
simms 2
sing 1
sitting 1
skill 1
small 1
soldier 4
soldiers 4
soon 1
speak 1
split 1
staffers 2
starts 2
states 1
stay 2
stopped 1
story 1
storyteller 1
surprise 1
survive 1
swamps 1
symptoms 1
takes 2
talent 1
talloi 1
tell 1
tells 1
that 13
the 67
their 12
them 3
then 5
there 2
they 12
thinking 1
this 4
three 1
through 1
time 3
to 30
together 1
told 1
tommy 2
town 1
travel 2
traveling 2
troops 1
trouble 1
troubling 1
turns 2
un 3
uncle 2
uneventful 1
unicef 1
united 2
unknown 1
until 1
up 3
usage 1
used 1
village 18
villages 1
violence 2
violent 1
volunteer 1
walkman 1
war 2
was 4
way 2
weapon 1
wearing 1
well 1
were 2
what 1
when 2
where 3
while 2
white 1
who 3
whom 2
wilderness 1
with 9
withdrawal 1
without 1
woman 1
would 1
wounds 1
york 1
younger 1
