1000252
/m/03y424
/m/03y424
John Marston
1605

a 7
actions 1
after 2
alderman 1
ambitious 1
an 1
and 14
apprentice 1
apprentices 1
are 2
become 1
before 1
brought 1
but 1
careful 1
castle 2
charges 1
coach 2
come 1
daughter 1
daughters 1
deals 1
deputy 1
dishonesty 1
dogs 1
dowry 1
during 1
flash 1
for 3
fraudulent 1
gertrude 3
golding 5
goldsmith 2
has 4
he 2
her 2
his 1
household 1
imaginary 1
in 2
industrious 1
is 4
isle 1
man 1
marries 1
marry 1
mild 1
mildred 2
modest 1
money 1
no 1
of 2
off 2
on 2
one 2
other 2
petronel 4
play 1
possesses 1
prison 1
promises 1
provident 1
quicksilver 4
rash 1
released 1
repent 1
robbed 1
schemes 1
sends 1
set 1
shipwrecked 1
sir 3
six 1
takes 1
temperate 1
the 7
their 2
them 1
they 2
this 1
time 2
title 1
two 2
up 1
vain 1
virginia 1
where 1
while 1
who 1
with 1
