3206427
/m/08z8x1
/m/08z8x1
Judy Blume
1973
16yearold 1
a 12
about 2
academically 1
after 1
alienates 1
an 1
and 8
anxiety 1
arcs 1
are 1
as 1
asking 1
astonished 1
at 4
back 2
bag 1
be 1
because 2
become 2
becoming 1
begins 1
being 1
bills 1
blame 1
body 2
book 2
brace 7
brings 1
business 1
but 1
by 2
can 1
career 2
change 1
changes 1
character 1
charming 1
chronicles 1
close 1
clothes 1
coming 1
concludes 1
concluding 1
copyright 1
crush 1
daughters 1
day 1
deenie 12
defiance 1
departure 1
description 1
determined 1
diagnosed 1
doctor 1
doctors 1
due 1
eczema 1
eventually 2
every 1
everything 1
exhorts 1
experience 1
fallen 1
family 2
fate 1
father 2
fearful 1
fenner 3
finds 1
fired 1
firmly 1
fit 1
for 5
four 1
friendship 1
future 1
gas 1
gave 1
gentleman 1
girl 1
go 1
got 1
grades 1
grass 1
has 2
hate 1
have 1
having 1
he 1
helen 4
her 17
herself 3
idea 1
if 1
in 8
include 1
initially 1
inspired 1
intention 1
is 8
it 2
itself 1
joey 4
keep 1
lawyer 1
learn 1
leaves 1
let 1
life 1
like 1
love 1
mentioned 1
mind 1
model 3
modeling 1
mom 1
mother 2
movie 2
mrs 2
mute 1
name 1
named 1
natalie 1
never 1
next 1
no 1
not 4
now 1
occasion 1
of 5
on 1
once 3
one 1
or 1
orthopedist 1
other 1
out 1
over 1
party 2
peace 1
plans 1
played 1
pointing 1
ponder 1
possibly 1
prescribed 1
proficient 1
pursue 1
pushed 1
ranks 1
rather 1
really 1
reasons 1
refuses 1
relaxed 1
resigns 1
rightfully 1
romantic 1
said 1
same 2
says 1
scoliosis 1
she 6
shed 1
sister 1
sisters 1
so 1
special 1
spite 1
splendor 1
station 1
still 2
stops 1
story 1
surprisingly 1
that 8
the 22
their 1
there 1
thirteenyearold 1
though 4
time 2
to 16
undone 1
until 1
up 1
upset 2
want 1
wanted 1
was 4
wear 4
wearing 1
whether 1
who 3
whose 2
will 2
wilmadeene 1
with 7
without 1
wood 1
works 1
years 1
young 1
