7950296
/m/026l54j
/m/026l54j
Nadine Gordimer
1979
105 1
130 1
140s 1
146 1
148 1
174 1
175 1
176 1
177 2
26 1
a 31
abandons 1
abetting 1
able 1
about 2
academic 2
accepted 1
actively 1
activist 2
adopted 2
africa 3
african 3
afrikaans 1
afrikaner 2
after 4
against 1
age 3
agreement 1
aiding 1
aims 1
all 1
also 2
always 1
an 1
anc 1
and 38
antiapartheid 3
any 1
anyone 1
apartheid 3
are 2
arrest 1
arrested 2
as 10
associates 1
at 5
attends 2
attention 1
attracts 1
august 1
authorities 1
baasie 5
back 1
bagnelli 2
bail 1
banned 4
bassie 1
be 6
because 2
become 1
been 1
before 1
befriended 1
being 1
bernard 3
black 5
blacks 2
born 2
boss 1
both 2
boy 1
brother 2
brought 1
brutally 1
burger 13
burgerbagnelli 1
burgers 1
but 3
by 4
called 1
cannot 1
captain 1
cathy 4
chabalier 2
charge 1
charges 1
child 1
childhood 1
children 2
colette 1
colour 1
communist 3
community 1
companion 1
conrad 5
conscience 1
contacts 1
convenient 1
could 1
court 1
critical 1
criticizing 1
daughter 5
deaths 1
derived 1
despite 1
detained 2
devastated 1
did 1
died 6
dies 1
difficult 1
dismissing 1
divorced 1
doctor 1
doctoral 1
does 1
doors 1
down 1
during 4
early 2
education 1
else 1
elsewhere 1
event 1
events 1
everyone 1
exile 1
expects 1
experienced 1
fact 1
family 5
farming 1
father 7
fathers 1
finds 1
first 6
flat 3
flies 1
for 6
former 1
france 3
french 3
friend 2
from 3
furthering 1
get 1
gives 1
go 1
going 1
government 2
grew 2
guilt 1
guilty 1
had 4
happy 1
has 2
have 1
having 2
he 10
hears 1
help 2
her 30
here 1
herself 2
him 7
his 5
home 1
honouring 1
hospital 1
house 3
hundreds 1
hurtful 1
identity 2
illhealth 1
imprisoned 1
in 37
includes 1
inferior 1
intention 1
into 2
introduces 1
irrelevant 1
is 15
it 2
its 1
jansen 1
job 1
johannesburg 1
joining 1
june 1
just 1
katya 2
killing 1
knew 1
know 1
knowing 1
labelled 1
later 3
lawyer 1
leaves 1
liberate 1
life 2
like 1
lionel 11
little 1
lived 1
livein 1
living 1
london 2
love 1
lover 1
lovers 1
luxemburg 1
manages 1
many 2
marie 1
married 4
marxist 1
may 1
meaning 1
media 1
medical 1
meets 1
member 2
members 1
mid170s 1
mine 1
mistreated 1
months 1
mostly 1
mother 2
moved 1
movement 1
moves 2
name 3
named 1
navy 1
ne 2
need 1
needs 1
never 1
nice 1
nine 1
no 1
northern 1
not 5
nothing 1
novel 1
november 1
now 1
number 1
october 1
of 18
on 5
one 1
only 1
opened 1
openly 1
or 1
orchestrating 1
organizations 1
organize 1
others 1
out 1
outlawed 1
overcome 1
overthrow 1
own 2
parents 2
paris 4
party 3
passport 2
people 2
persuades 1
phone 1
physiotherapist 3
plans 1
police 1
polish 1
political 1
postgraduate 2
previously 1
prison 5
profession 1
protesting 1
put 1
questions 3
rampage 1
real 2
realising 1
regardless 1
regularly 1
relationship 1
reluctant 1
remarks 1
represented 1
restrictions 1
resulting 1
resumes 1
return 2
returned 1
returns 1
revolt 1
role 2
rosa 25
rosemarie 1
rural 1
sacp 4
same 1
saying 1
says 3
school 2
second 1
sees 2
sells 1
sent 2
sentences 1
set 1
several 3
she 21
simply 1
sister 1
some 2
somewhere 1
south 5
soweto 4
special 1
spends 1
standing 1
start 1
starts 1
stay 2
stays 1
still 1
strike 2
struggle 1
student 4
students 1
succumbs 1
such 1
supported 1
supporting 1
surveillance 1
swan 1
taken 1
talk 1
taught 1
ten 1
that 10
the 38
their 2
them 1
themselves 1
then 1
there 5
thesis 1
they 5
this 2
three 1
time 4
to 22
told 3
too 1
trade 1
transvaal 1
treason 1
treated 1
trial 2
two 1
ugo 1
under 2
unionist 1
university 1
up 2
uprising 1
visited 1
visiting 1
visits 1
vulindlela 2
want 1
was 13
way 1
weeks 1
welfare 1
were 4
what 2
when 5
where 2
whether 1
which 2
while 2
white 4
whites 2
who 4
widowed 1
wife 3
will 2
with 9
within 1
workers 2
working 1
works 1
would 1
year 1
years 2
zwelinzima 2
