14839702
/m/03gzrxp
/m/03gzrxp
Tedd Arnold


a 3
above 1
added 1
again 2
all 3
along 1
and 16
apartment 7
are 2
as 3
at 1
aunt 3
back 1
basement 1
batty 3
bed 8
been 2
blocks 1
building 2
but 3
by 1
castle 1
cat 2
ceiling 1
collection 1
continue 1
crack 1
crash 1
crowd 2
dark 1
day 1
decides 1
delbert 4
do 1
down 1
dream 1
easel 1
end 1
evergrowing 1
fall 2
falling 1
falls 3
father 1
fatty 1
ferlingatti 1
finds 1
fish 2
floor 3
followed 1
for 1
friend 1
gets 1
go 1
group 2
hanratty 2
has 1
hattie 3
hatties 1
have 2
he 7
hears 2
her 3
higher 2
him 2
himself 2
his 12
hopes 1
in 6
instead 1
into 5
is 4
it 4
itll 1
join 2
jump 2
jumping 4
just 1
keeps 1
knocking 1
land 1
lands 2
lap 1
learn 1
lesson 1
maestro 1
matty 3
meatballs 1
miss 4
monsters 1
more 1
mr 5
natty 3
never 1
next 2
not 1
now 1
of 3
on 5
one 2
over 2
paint 1
painting 1
patty 3
picture 1
plate 1
practicing 1
promises 1
quartet 1
quiet 1
realizes 1
right 1
safely 1
scattered 1
set 1
shortly 1
sleep 1
spaghetti 3
stamp 1
stamps 1
starts 1
stop 1
string 1
tank 1
television 2
that 4
the 19
their 1
then 1
they 1
through 2
to 7
too 1
toy 1
toys 1
tries 1
tumbling 1
until 1
up 1
various 1
walter 10
warns 1
watching 1
well 1
where 5
while 1
who 1
will 2
with 1
