23574939
/m/06w2px5
/m/06w2px5
Susan Hill
1992
a 1
about 1
after 1
all 1
and 1
arrival 1
arrives 1
as 2
at 1
began 1
boy 1
by 1
conrad 1
cross 1
death 1
england 2
following 1
gain 1
ghost 1
ghostlike 1
goal 1
great 1
guardian 1
happens 1
has 1
he 6
his 5
in 4
information 1
inn 1
is 2
james 1
keys 1
later 1
life 1
monmouth 1
months 1
more 1
much 1
of 1
often 1
pale 1
parents 1
possible 1
raised 1
see 1
sees 1
sir 1
story 1
strangely 1
that 1
the 5
this 1
to 3
travel 1
travelled 1
traveller 1
upon 1
vane 1
was 1
young 1
