21569418
/m/05h1r5r
/m/05h1r5r
Drew Karpyshyn

a 15
acolyte 1
action 1
alive 1
all 1
an 2
ancient 2
and 13
andeddu 1
apprentice 3
arises 1
as 1
assassin 1
assassinated 1
assure 1
at 1
back 1
bane 8
barren 1
be 1
become 1
begun 1
bent 1
beside 1
bring 1
brink 1
but 3
by 3
can 2
capture 1
catastrophe 1
challenge 1
child 1
choosing 1
circle 1
claim 1
coldblooded 1
combat 1
craves 1
crucial 1
cult 1
cunning 1
dark 7
darth 3
death 1
decided 1
demolished 1
depths 1
desert 1
desire 1
destroy 1
determined 1
devoted 1
die 1
disciples 1
dispatch 1
doan 2
domination 1
doubt 1
down 1
downfall 1
dream 1
duel 1
embrace 1
emissary 1
engage 1
enough 1
even 1
excuse 1
factfinding 1
family 1
fanatical 1
fatal 1
father 1
final 1
find 2
fool 1
for 2
forgotten 1
from 2
future 2
galactic 1
giving 1
going 1
grim 1
has 3
haunted 1
have 1
he 2
her 13
herself 1
hiding 1
him 3
himbefore 1
himpossibly 1
himself 1
hires 1
his 2
holocron 1
if 1
immortalityand 1
in 3
is 6
it 1
its 1
jedi 2
kill 1
knowledge 1
knows 1
last 1
learn 2
lightsaber 1
lord 5
mantle 1
master 5
memories 1
merciless 1
mining 1
missionwhile 1
monstrous 1
mortal 1
most 1
murdered 1
must 2
no 1
not 2
now 1
of 17
on 5
once 1
one 3
only 2
opportunity 1
order 1
out 1
outpost 1
own 3
pass 1
passed 1
perfect 1
planet 1
power 3
powerful 1
precious 1
prepares 1
princess 1
prove 1
pursues 1
quarry 1
ravaged 1
reaches 1
reigning 1
reinvented 1
remote 1
rescue 1
retribution 1
rogue 1
royal 1
ruthless 1
secret 2
senses 1
serra 1
sets 1
she 10
side 2
since 1
sith 9
so 2
soldier 1
something 1
stand 1
storms 1
stroke 1
stronghold 1
successor 1
suddenly 1
take 1
taken 1
taste 1
that 4
the 28
to 17
tormentorand 1
tortured 1
troubled 1
twenty 1
two 1
ultimately 1
usurp 1
vanishes 1
vows 1
was 1
way 1
when 4
where 1
while 1
who 2
wield 1
will 3
wisdom 1
with 2
world 1
worthy 1
wrath 1
wrests 1
years 1
yet 1
zannah 5
