5313029
/m/0dd_kv
/m/0dd_kv
Justin Richards

a 3
adaptivity 1
and 3
are 1
arrive 1
aside 1
aware 1
benefactor 1
body 1
britain 1
by 1
carried 1
century 1
children 1
coast 1
dead 1
discover 2
display 1
doctor 2
even 1
fogshrouded 1
from 1
grave 1
have 2
however 1
in 1
inventions 1
island 3
its 1
landed 1
lifestyle 1
local 2
modern 1
must 1
not 1
of 4
on 2
out 1
people 1
peri 1
put 1
remote 1
research 1
rises 1
school 1
scientific 1
secrets 1
soon 1
that 1
the 8
they 3
uncanny 1
when 1
where 1
which 1
