15966642
/m/03qjgvs
/m/03qjgvs
Victor Appleton
1911
a 1
airship 2
an 1
and 3
apart 1
are 1
by 1
coast 1
craft 1
crash 1
crew 1
crumbling 1
decide 1
earthquake 1
experimental 1
for 1
friends 1
hapless 1
hurricane 1
island 1
it 1
jersey 1
landing 1
let 1
makes 1
much 1
must 1
navigate 1
near 1
new 1
on 1
or 1
out 1
proves 1
sea 1
simply 1
steer 1
storm 2
swept 1
swift 1
take 1
tearing 1
the 7
them 1
to 3
tom 2
too 1
trial 1
unable 1
unexpectedly 1
unfortunately 1
uninhabited 1
wherever 1
will 1
winds 1
without 1
