1277287
/m/04phbp
/m/04phbp
John Gardner
1992
{"/m/06wkf": "Spy fiction"}
11 1
a 6
after 1
aftermath 1
agent 3
also 1
american 1
an 2
and 8
are 1
as 2
assigned 1
at 1
backdrops 1
being 1
bond 3
book 1
british 1
by 1
cabal 2
cia 2
circumstances 1
cold 3
communism 1
connecting 1
construction 1
country 1
coup 1
create 1
current 1
death 2
deaths 1
disband 1
do 1
down 2
during 1
each 1
easy 2
effort 1
elizabeth 1
end 1
england 1
era 1
european 1
eurostar 1
eurotunnel 1
events 1
failed 1
fallout 1
finds 1
for 2
forever 2
france 1
from 2
game 1
gardner 1
germany 1
grounded 1
havoc 1
he 1
heads 1
himself 1
important 1
in 5
inaugural 1
intelligence 2
is 3
james 1
john 1
kill 1
killing 1
lifeordeath 1
london 1
major 1
members 2
more 1
most 1
mysterious 2
network 1
novels 1
of 9
off 2
oldfashioned 1
one 2
other 1
paris 1
playing 1
plot 2
power 1
provides 1
received 1
responsible 1
run 1
russian 1
second 1
serves 1
setting 2
signal 1
soon 1
st 1
still 1
story 1
surprisingly 1
surviving 1
than 1
that 1
the 20
time 1
to 6
track 2
trust 1
unauthorized 1
uncovers 1
under 2
usher 1
war 2
warera 1
was 2
weisen 2
west 1
which 1
who 1
with 2
wolfgang 1
working 1
written 1
you 1
zara 1
