2368403
/m/076_ln
/m/076_ln
Len Deighton

{"/m/098tmk": "War novel", "/m/02xlf": "Fiction"}
143 1
42000 1
5000 1
750 1
88nbspmm 1
a 21
about 1
accuracy 2
across 1
actions 1
add 1
adequate 1
adjust 1
after 2
against 3
air 2
aircrews 1
airmen 1
alive 1
all 1
allowed 1
almost 2
altgarten 7
ambitious 1
an 7
analysed 1
and 26
anglian 1
another 2
antiaircraft 1
appearance 1
are 12
as 8
assure 1
at 7
attack 2
attitudes 1
august 1
author 2
avoiding 1
aware 1
bach 2
back 1
background 1
banished 1
banquet 1
based 1
batteries 1
be 1
been 1
believe 1
best 1
birds 1
birthday 1
bomber 4
bombers 1
bombing 1
bombs 3
book 2
bowler 1
brgermeister 1
british 1
business 1
but 2
by 9
can 1
caregiver 1
carpetbombed 1
case 1
cause 1
channel 1
characters 4
charged 1
chimes 1
christmas 1
cities 1
city 1
civil 1
clear 1
clinically 2
close 1
coast 1
combatants 1
come 1
command 1
commander 3
concentrations 1
conditions 2
continue 1
costing 1
cosy 1
counterpoint 1
counterproductive 1
country 1
course 1
crashes 2
creepback 1
crew 2
crewmen 1
crews 1
cricket 2
curiously 1
daily 1
daytoday 1
dead 1
deaths 1
decidedly 1
defence 1
described 2
designed 1
despite 2
destroy 2
destroyed 1
detail 3
details 1
detecting 1
developing 1
device 1
discover 1
dissected 1
distanced 1
do 1
does 1
dogleg 1
down 1
downed 1
dutch 1
duties 1
each 2
east 2
emotions 1
end 1
ends 1
engineers 1
england 1
ensure 1
ensures 1
entire 1
epilogue 1
eternity 1
even 1
event 1
eventually 1
everyone 1
exacerbated 1
exhaustion 1
experienced 1
expert 1
explode 1
factor 1
fatherland 1
fears 1
fighter 1
finalises 1
fire 1
firestorm 1
flak 2
flakship 1
flight 1
flying 4
follow 1
following 1
for 5
force 2
foreboding 1
forecasts 1
forms 1
found 1
frequent 1
freya 1
friendly 1
from 4
genteel 1
german 3
germany 2
gets 1
gives 1
go 1
goes 1
going 1
great 1
guests 1
guide 1
has 1
have 1
he 7
held 1
here 1
heroically 1
heroism 1
high 1
him 2
his 8
historical 1
hitting 1
holder 1
horror 1
houses 1
how 1
i 1
ijsselmeer 1
immediately 1
implying 1
in 15
indignity 1
inhabitants 1
injuries 1
installation 1
intercept 1
into 2
introduced 1
is 20
it 2
its 4
join 1
junkers 1
known 1
krefeld 1
lambert 5
lancaster 1
lancasters 2
large 1
later 1
le 1
leave 1
lieutenant 1
little 1
lives 1
loaded 1
local 1
located 1
looked 1
looking 1
lost 1
luftwaffe 1
main 1
maintains 1
major 1
many 1
marker 3
market 1
mayor 1
meanwhile 2
medieval 1
membership 1
men 1
meted 1
meteorological 1
meticulous 1
minute 1
minutest 1
missions 2
mixed 1
more 2
mosquito 1
movie 1
mrite 1
nachtjger 1
navigates 1
nearby 1
nears 1
needs 1
night 1
nightfighters 2
nighttime 1
no 1
nonnazi 1
northwest 1
not 1
nothilfe 1
now 1
oberleutnant 1
oclock 1
odds 1
of 20
on 4
one 3
or 2
ordeal 1
organizing 1
out 3
over 4
own 2
participation 1
pathfinder 1
people 1
performers 1
phenomena 1
pieces 1
pilot 1
pinpointed 1
placed 1
planes 1
planning 1
playing 1
plot 2
point 1
poor 1
portray 1
pour 1
preparation 1
preparations 1
prices 1
progress 1
protagonists 1
provided 1
punishments 1
purportedly 1
put 1
pyrotechnics 1
radar 2
radars 1
radio 1
raf 2
raid 3
raids 2
ready 1
references 1
refusal 1
regularly 1
remote 1
replacing 1
residents 1
respected 1
responsibilities 1
rest 1
restaurant 1
results 1
returning 1
revere 1
rites 1
rituals 1
rival 1
routines 1
ruhr 1
russia 1
sam 1
same 2
sea 1
searchlight 1
second 1
seeks 1
serving 2
shell 1
shot 1
shrapnel 1
similar 1
since 1
sits 1
situations 1
slowmotion 1
small 2
so 1
some 2
son 2
south 1
square 1
ss 1
start 1
state 1
station 4
still 1
stream 1
stress 1
stressful 1
successive 1
superstitions 1
surrounding 1
survival 1
symbolic 1
tactics 1
takeoff 1
taking 1
technische 1
teno 1
terribly 1
terrorflieger 1
than 1
that 6
the 58
their 6
them 3
themselves 1
there 2
things 1
this 2
those 1
though 1
thoughts 1
timberbuilt 1
time 3
tiny 1
to 17
tommi 1
tonight 1
tour 1
towards 1
town 4
tracking 1
tree 1
twelve 1
under 1
understating 1
unit 1
unscrupulous 1
untouched 1
unusual 1
up 2
useless 1
vantage 1
veteran 1
victory 1
views 1
virtually 1
vision 1
waffen 1
waits 2
war 4
warm 1
wartime 1
way 1
we 4
weapons 1
weather 1
what 1
which 1
who 2
whom 1
widower 1
will 1
with 12
work 1
works 1
world 1
wrong 2
younger 1
