26236089
/m/0bdy3rv
/m/0bdy3rv
Connie Willis
2010
13 1
140 5
141 3
143 3
144 4
15 2
170s 1
187 1
2 1
2054 1
2060 7
a 24
abandon 1
able 5
about 2
abruptly 1
academic 1
accept 1
across 1
actions 1
after 2
albeit 1
alf 4
all 4
already 3
also 6
always 1
american 1
an 7
ancestor 1
and 40
another 4
april 1
are 10
around 2
arrives 1
as 13
assemble 1
assignment 3
assignments 1
assistant 1
at 8
attempt 1
avoid 1
away 1
back 2
bartholomew 2
battle 1
be 7
became 1
because 1
becomes 3
been 5
before 5
began 1
begins 1
behind 3
being 1
believe 1
believes 1
between 2
binnie 6
binnies 1
blackout 2
bletchley 1
blitz 2
bomb 1
bombing 1
book 1
boy 1
breadth 1
breaking 1
brings 1
britain 1
but 8
by 9
called 1
came 1
campaign 1
can 3
cant 1
case 1
cathedral 3
cause 1
caused 2
changed 1
changes 2
changing 2
characters 1
child 1
children 1
churchill 3
clear 1
clueless 1
colin 12
comes 1
complete 1
concludes 1
constant 1
continued 1
continuum 3
convinced 1
corrections 1
country 1
countryside 1
couple 1
crush 1
current 1
date 1
davies 3
davis 2
day 1
days 1
dead 1
deadline 2
dear 1
death 4
deaths 1
december 2
delayed 1
department 1
depressed 1
desperate 1
despite 1
determine 2
devilish 1
die 2
died 3
disarray 1
discovering 1
discrepancies 1
distraught 1
do 3
dover 1
dozen 1
drop 2
drops 1
due 1
dunkirk 2
dunworthy 7
during 3
efforts 1
eileen 13
either 2
elderly 1
embedded 1
employment 1
engage 1
engaged 1
england 1
english 1
equipped 1
escape 1
especially 1
evacuated 1
evacuation 2
even 1
events 1
excels 1
explains 2
fact 2
fairly 1
faked 2
falls 1
fears 1
few 2
figure 1
finally 2
find 5
finds 4
first 1
firsthand 1
for 9
fortitude 1
found 2
frantically 1
from 8
frustration 1
future 4
generally 1
gerald 1
germany 1
get 1
girls 1
gives 1
giving 1
godfrey 1
goes 2
going 1
gone 1
govern 1
grownup 1
had 4
hair 1
happen 1
harbor 1
has 9
have 7
having 1
he 12
helped 2
helps 1
her 7
herself 1
him 8
himself 3
hinting 1
his 8
historian 1
historians 5
history 2
hit 1
hope 1
hopeless 1
hopes 1
hospital 1
however 2
i 1
if 2
ii 3
implying 1
important 1
in 34
influence 1
influenced 1
information 1
initially 1
injuries 1
inspired 1
instead 1
interfering 1
into 2
involves 1
is 21
isnt 2
it 7
itself 1
john 1
journalist 1
jump 1
june 1
just 1
keeps 1
killed 2
knew 1
knowing 1
knowledge 1
lands 1
last 1
late 1
later 1
laws 1
leading 1
learned 1
leave 2
led 1
left 2
less 1
lies 1
life 2
light 1
likely 1
live 1
lives 1
local 1
located 1
london 3
look 1
looking 1
lost 2
make 1
manages 1
manor 1
may 1
mean 1
meaning 2
meanwhile 1
meeting 1
meets 2
merope 4
michael 4
mike 10
miles 1
minute 1
misinformation 1
mission 1
misunderstanding 1
months 1
more 1
most 1
mother 1
mr 6
multiple 1
must 2
need 1
needs 1
never 1
newspapers 1
night 1
no 1
none 1
not 4
notices 2
novel 2
now 2
nowhere 1
observe 1
observing 1
of 16
off 3
older 1
on 3
one 1
only 1
open 1
opens 1
operation 1
or 2
oreilly 2
originally 1
orphans 1
other 1
out 3
overeager 1
overseeing 1
own 3
oxford 12
painting 1
paintings 1
park 1
participant 1
particularly 1
past 5
paul 3
pauls 1
pearl 1
people 1
phipps 1
place 2
plan 2
plans 1
plant 1
point 2
polly 19
pollys 1
posing 3
possibly 2
potential 1
prepared 1
prevent 2
prevents 1
previously 1
proper 1
pushed 1
raid 1
raids 2
raise 1
realize 1
realized 1
realizes 4
realizing 1
reason 1
reasons 1
recovering 1
refugees 1
refuses 2
remain 2
repeatedly 1
rescue 5
rescuer 1
research 1
resemblance 1
response 2
result 1
retrieve 1
return 5
returned 1
returning 1
returns 1
revealed 1
revolting 1
right 2
running 1
safely 1
said 1
saving 1
sealed 1
search 1
sebastian 2
secure 1
see 1
seemed 1
seems 1
sends 1
sent 1
separated 1
september 1
set 1
several 1
she 21
shell 1
shes 1
shop 2
shopgirl 1
should 1
since 3
sir 1
slippage 1
small 1
so 3
some 1
someone 2
something 1
south 1
st 4
staff 1
start 1
stay 1
stays 1
stranded 1
street 1
stuck 1
students 1
studying 1
stumbles 1
successful 1
such 1
support 1
supposed 1
surprise 1
switches 1
teenager 1
tell 2
tells 2
templer 1
than 1
that 28
the 75
their 10
them 4
then 1
theorizes 1
there 3
they 9
theyd 1
theyre 1
things 2
this 3
those 2
thought 1
three 3
through 3
thus 1
time 10
times 2
to 63
together 2
tragedy 1
trapped 2
travel 4
travelers 2
try 2
trying 1
turns 1
two 1
ultimately 1
ultra 1
unable 4
unconscious 1
university 1
unwilling 1
upon 1
urchins 1
utterly 1
view 1
viewed 1
visited 2
volunteers 1
waiting 1
war 8
ward 3
wardrobe 2
was 3
way 1
weeks 1
well 1
went 1
what 1
when 6
where 4
which 2
while 1
who 7
will 6
winning 2
with 6
witness 1
won 1
work 1
world 4
worries 1
worst 2
wrong 1
year 1
years 1
you 1
