659052
/m/02p2smj
/m/02p2smj
Patrick O'Brian
1993
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 34
able 2
accompanied 2
after 6
against 2
agent 1
aided 2
alastor 2
also 2
american 5
amicable 1
among 1
amputate 1
an 7
and 37
andes 1
animal 1
appalling 1
are 4
arica 1
arrival 1
as 8
ashore 1
assorted 1
at 1
aubrey 8
avoiding 1
back 1
bad 1
basic 1
be 3
becoming 1
been 1
being 2
berenice 1
bernardo 1
black 1
blanco 1
blizzard 1
board 2
boat 1
book 1
boston 1
bound 1
british 3
bromeliads 1
but 6
by 13
callao 1
cape 1
captain 1
capuchin 1
carefully 1
catholic 1
caught 1
chased 1
chile 1
china 1
chisel 1
church 1
clipper 1
close 2
collect 1
colonial 1
colonise 1
commanded 1
committing 1
completely 1
conditions 1
condors 1
considerable 1
contact 1
cordage 1
courtesies 1
crew 2
crewmembers 1
crewmen 1
cry 1
damages 1
days 2
dead 1
deadend 1
death 1
demanding 1
denouncing 1
departed 1
disables 1
doctor 1
does 2
down 1
dr 1
drunk 1
due 1
dundas 2
dutourd 7
earlier 1
easily 1
eduardo 3
either 1
encounters 1
ends 1
engage 1
engineered 1
english 1
enriching 1
equality 1
eruption 1
escape 2
escapes 1
establish 1
eve 1
eventually 2
exposure 1
eye 1
fact 1
failed 1
father 1
fauna 1
fear 1
few 1
fictionalised 1
field 1
finally 1
finds 1
fired 1
first 2
flag 1
flee 1
flora 1
flowering 1
flying 1
for 2
former 1
franklin 8
french 2
frenchman 1
friend 1
frigate 2
from 11
frostbitten 1
gayongos 1
geary 1
government 2
graces 1
guanacos 1
guide 1
gun 1
hanged 1
harbour 1
hard 1
harder 1
has 6
have 2
having 2
he 9
heneage 1
her 3
herself 1
hide 1
high 1
highly 1
him 3
himself 1
his 10
hms 1
home 1
homeward 1
horizon 1
horn 1
hostile 1
however 1
hue 1
hulldown 1
ice 1
iceberg 1
identity 1
illegitimate 2
immediate 1
in 11
incite 1
indefatigable 1
independence 1
indian 1
informs 1
intelligence 1
intended 1
intercept 1
interrupted 1
into 1
is 16
island 2
it 1
its 3
juryrigged 1
justice 1
knipperdolling 1
know 1
knowledgeable 1
labour 1
laid 1
lane 1
latter 1
leaving 1
legal 1
letter 1
liable 1
life 2
lightning 1
lima 1
line 1
little 1
local 2
lorenzo 1
loses 1
low 1
made 2
main 1
makes 1
many 1
marque 1
martin 1
mast 1
maturin 9
meanwhile 2
meet 1
meeting 1
meets 1
merchant 1
merchantmen 1
message 1
military 1
mission 1
moahu 1
monastery 1
monsieur 1
more 1
most 1
moth 1
mountainous 1
mountains 2
mr 1
muchneeded 1
mule 1
narrative 1
native 1
naturalist 1
needs 1
not 3
now 1
number 1
numerous 1
of 17
off 1
official 1
officials 1
ohiggins 1
old 1
on 8
once 1
only 1
opens 1
operate 1
or 2
original 1
out 3
outmatched 1
over 1
overcomes 1
owing 1
own 1
owner 1
pacific 2
pains 1
pakenham 1
panda 1
paradise 1
paris 1
passage 1
pepper 1
permitting 1
peru 1
peruvian 2
philanthropist 1
picks 1
pike 1
piracy 1
pirate 2
pirates 1
plant 1
political 1
population 1
powerful 1
pox 1
prelate 1
premature 1
prepares 1
preserve 1
presumed 1
privateer 2
prizes 1
prominent 1
provisions 1
pullings 1
pursuer 1
pursuit 2
put 1
raises 1
reach 1
receives 2
receiving 1
recognises 1
recovered 1
revolution 3
revolutionary 1
roman 1
rudder 2
sailing 2
sailor 1
sails 3
salons 1
salt 1
sam 2
san 1
sea 1
secret 2
secure 1
sees 1
several 1
severe 1
severely 3
she 1
ship 5
ships 2
simply 1
situation 1
sixtyfourgun 1
small 1
society 1
son 2
sores 1
south 2
spanish 1
spars 1
specimens 2
spot 1
spy 1
status 1
stephen 4
storage 1
story 1
struck 1
submarine 1
substitute 1
suddenly 1
surprise 9
surprises 1
surrender 1
sydney 1
sympathetic 1
sympathiser 1
taken 7
takes 1
task 1
tells 1
tender 1
that 7
the 56
them 3
then 3
they 2
thigh 1
thirtyeight 1
three 2
thrust 1
to 26
toes 1
trekking 1
true 1
turned 2
turns 2
two 1
unlike 1
until 1
up 1
updates 1
upon 1
us 1
using 1
valparaso 1
valuable 1
version 1
vicargeneral 1
victims 1
vicua 1
viento 1
view 1
visit 1
volcanic 1
wadding 1
warn 1
was 1
way 1
wealthy 2
weather 1
welcome 1
whaler 2
whalers 1
what 1
which 2
who 1
wind 1
wiping 1
with 7
wounded 1
wounds 1
