8308396
/m/026zwcc
/m/026zwcc
Pamela Aidan

{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 4
about 4
accidentally 1
acquainted 1
act 1
admire 1
advance 1
against 2
alienate 1
all 1
amends 1
amidst 1
an 2
and 18
area 1
arrives 1
arrogance 1
as 5
assistance 1
at 4
attempt 1
attempts 2
ball 3
be 2
because 1
become 2
becomes 1
begins 1
behaviour 1
bennet 4
best 1
betters 1
beyond 1
bingley 8
book 2
bored 1
both 1
by 5
caroline 1
case 1
chapters 1
charles 1
charm 1
charming 1
cold 1
comes 1
comment 1
company 1
confident 1
connections 1
conspired 1
conviction 1
convincing 1
costs 1
cowed 1
current 1
dance 1
darcy 16
day 1
dealings 1
declare 1
defend 1
despite 3
detecting 1
determines 1
dissuade 1
dissuads 1
distant 1
do 1
doubt 1
due 1
during 2
easilytrusting 1
elizabeth 12
embarrassing 1
encounter 1
ends 1
entering 1
estate 1
eventually 1
examples 1
expects 1
explore 1
extremely 1
fact 1
falls 1
false 1
family 1
fascinated 1
fate 1
feelings 2
finds 2
fine 1
fitzwilliam 1
focuses 1
following 1
for 5
forced 1
forget 1
friend 3
from 6
generous 1
george 1
georgiana 1
gloating 1
harden 1
has 4
hasty 1
have 1
he 10
heart 1
her 8
hertfordshire 1
him 4
himself 2
hint 1
his 14
holding 1
however 3
ill 1
illbreeding 1
in 5
inadvertently 1
initial 1
intentions 1
interests 1
into 3
is 4
jane 6
joined 1
lies 1
lively 1
local 2
london 1
made 1
make 2
managed 1
manners 1
marrying 1
meryton 1
militia 1
mind 1
misgivings 1
money 1
more 1
mother 1
moved 1
must 1
naive 1
nature 2
netherfield 4
next 1
no 1
not 1
novel 1
of 11
offended 1
on 1
opening 1
or 1
others 1
overhearing 1
own 1
particularly 1
party 1
perceived 1
permanently 1
personal 1
poison 1
politeness 1
possesses 1
potential 1
prejudice 1
prevent 1
previous 1
pride 1
protective 1
proud 1
provincial 1
realizes 1
receives 1
recently 1
record 1
recovers 1
refusal 1
refuses 1
regard 2
relations 1
relationship 1
repeatedly 1
resolves 1
resolving 2
return 2
ruin 1
seeds 1
seen 1
sees 1
set 1
she 2
sister 3
social 1
society 1
somewhat 1
sows 1
spirit 1
stay 2
straight 1
strengthen 1
struggling 1
subject 1
such 1
surprise 1
surroundings 1
tactless 2
tales 1
that 7
the 18
their 1
this 1
thrown 1
to 24
too 1
towards 2
town 2
treatment 1
uncomfortable 1
unfortunate 2
unfortunately 1
unfriendly 1
unguarded 1
unpleasant 1
unsuitable 1
until 1
unwelcome 1
valet 1
viewpoint 1
village 1
visit 1
visiting 1
vulnerable 1
what 1
when 2
whilst 2
who 1
whom 1
wickham 4
wife 1
with 7
without 1
worries 1
worse 1
would 1
