889951
/m/03m3dd
/m/03m3dd
Alasdair Gray
1984-10-30
11 1
a 5
actions 1
alarm 1
alcoholic 1
all 1
an 2
and 4
approaching 1
are 2
as 1
assembling 1
at 1
attempted 1
attempts 1
based 1
big 1
by 1
cast 1
chapter 1
characters 1
childhood 1
coalesce 1
concludes 1
constantly 1
crisis 1
dawns 1
described 1
divorced 1
each 1
explosion 1
facing 1
fantasy 1
fifty 1
for 1
god 1
greenock 1
had 1
he 1
him 1
his 5
hoped 1
hotel 1
however 1
in 4
includes 1
including 1
installation 1
into 1
intricate 1
is 2
jane 1
janine 1
jock 1
kill 1
length 1
lesbian 1
life 1
long 1
lovers 1
mcleish 4
memory 1
momma 1
morning 1
narrated 1
night 2
novel 2
obese 1
of 11
on 2
outlaw 1
page 1
parallel 1
parts 1
pills 1
pornographic 1
practices 1
previous 1
problems 1
prompt 1
reminiscences 1
returns 1
room 1
russell 1
sadomasochistic 1
several 1
short 1
some 1
soul 1
spend 1
splitting 1
submitted 1
suicide 1
superb 1
superbitch 1
supervisor 1
systems 1
text 1
that 1
the 10
these 2
to 3
truth 1
typographical 1
up 1
voices 1
vomiting 1
which 2
with 2
would 1
