14767442
/m/03gx9m6
/m/03gx9m6
Jim Thompson
1952
2yearold 1
a 17
abused 1
additional 1
adolescence 1
affair 2
after 1
against 2
albeit 1
alibi 1
an 1
and 5
anything 1
appear 1
appears 1
as 1
avoid 1
batters 1
be 2
beating 1
begins 1
beneath 1
benign 1
blackmail 1
blame 1
blamed 1
bore 2
boredom 1
brother 1
builds 1
clichs 1
coma 1
commit 1
construction 4
cop 1
corny 1
crime 1
crimes 1
crumble 1
cunning 1
dark 1
death 1
deliberately 1
depraved 1
deputy 1
describes 1
despite 3
died 1
double 1
doublecrosses 1
elder 1
evidence 1
exact 1
existence 1
exposing 1
eyes 1
facade 1
falls 1
ferociously 1
for 4
ford 6
foster 1
frame 1
frames 1
from 1
girl 1
girlfriend 1
go 1
gone 1
habit 1
has 2
having 1
he 5
her 1
him 3
his 4
homicide 1
hoping 1
however 4
if 1
in 2
increase 1
into 1
is 3
it 2
its 1
jail 1
joyce 5
lakeland 1
leading 1
little 1
local 1
lou 6
lovers 1
magnate 3
main 1
make 1
mask 1
mike 3
murdered 1
murders 1
named 1
needling 1
obvious 1
of 3
on 1
only 1
other 1
others 1
outlet 1
people 2
plagued 1
platitudes 1
pressure 1
prison 1
prostitute 1
protagonist 1
regular 1
relationship 1
relatively 1
revealed 1
revenge 1
sadistic 1
sadomasochistic 1
sanity 1
savage 1
says 1
serving 1
sexual 1
sexually 1
sheriff 1
shoots 1
sickness 1
since 1
site 1
small 1
smalltown 1
sociopath 1
solid 1
son 2
spare 1
spat 1
starts 1
steady 1
story 1
successfully 1
survives 1
suspecting 1
suspicion 1
tastes 1
term 1
texas 1
than 1
that 2
the 12
their 2
there 1
these 1
this 1
through 1
to 10
told 1
took 1
town 1
under 1
unlocking 1
unremarkable 1
urges 1
was 1
when 2
which 1
with 4
worse 1
wrong 1
