1277548
/m/04phzx
/m/04phzx
Raymond Benson
2001
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
a 5
all 1
also 1
and 7
angeles 1
are 1
attack 1
begins 1
behind 1
bensons 1
bond 2
briefly 1
cannes 1
carlo 1
carnage 1
chicago 1
children 1
conclusion 1
corsica 1
deadly 1
down 1
end 1
essinger 1
even 1
eventually 1
fateful 1
final 1
for 1
game 1
goes 1
him 2
his 4
horribly 1
hunt 1
husband 1
innocent 1
into 1
involves 1
is 1
island 1
it 2
japan 1
killing 1
knows 1
latest 1
lead 1
leads 1
leon 1
locations 1
los 1
may 1
meeting 1
men 1
mignonne 1
monte 1
movie 2
new 1
nice 1
of 1
on 1
once 1
own 1
paperback 1
paris 2
past 1
pirate 1
police 1
predator 1
prey 1
raid 1
seductive 1
society 1
sordid 1
star 1
stars 1
take 1
takes 1
targetor 1
the 5
them 1
to 5
trilogy 1
tylyn 3
union 3
us 1
violent 1
vows 1
when 1
which 2
who 1
with 2
women 1
wrong 1
