27694972
/m/0c3w0pg
/m/0c3w0pg
Nora Roberts
2002-09
{"/m/0lsxr": "Crime Fiction"}
a 8
able 1
absolute 1
achieved 1
after 1
an 2
and 10
another 1
apartment 1
are 2
as 2
assistant 1
attacker 2
attacking 1
attacks 1
autopsy 1
bears 1
becomes 1
been 1
before 1
being 1
body 1
brain 2
building 1
but 1
by 3
called 1
calling 1
captain 1
chadwick 1
children 1
claiming 1
cogburn 5
computer 5
criminals 1
dallas 1
day 1
dealer 1
deaths 2
delia 1
dementia 1
despite 1
detection 1
dies 2
division 1
drugs 1
edd 1
electronics 1
enough 1
enraged 1
enters 1
eve 3
evidence 1
examination 1
examining 1
executions 1
extreme 1
feeney 1
finds 1
fitzhugh 2
following 1
for 2
forced 1
found 1
from 1
furst 1
group 1
had 1
has 2
he 3
help 1
her 2
his 2
holding 1
homicidally 1
hostage 1
however 1
ian 1
illegal 1
illegals 1
in 3
individuals 1
induce 1
injures 1
insane 1
instantly 1
intense 1
investigator 1
irreversible 1
is 3
it 1
its 1
job 1
killed 3
known 1
later 1
law 1
locked 1
louie 1
lowprofile 1
lt 1
man 1
mcnab 1
means 1
meanwhile 1
message 3
more 3
nadine 1
named 1
neighbor 2
next 1
normal 1
normally 1
not 1
nypsd 1
of 9
officer 2
on 5
peabody 1
pedophile 1
promising 1
purity 3
reporter 1
responsibility 1
roarke 1
same 4
scene 2
screen 1
seekers 2
sends 1
sent 1
setting 1
she 1
shot 1
shows 1
some 1
stop 1
stun 2
suddenly 1
suspect 1
swelling 3
team 1
terminal 1
text 1
that 2
the 20
them 1
themselves 1
then 1
this 1
time 1
tissue 1
to 7
touch 1
troy 1
trueheart 4
turned 1
turns 1
uncontrollable 1
unconvicted 2
uninvolved 1
unique 1
unusual 1
violence 2
violently 1
virus 1
was 1
weapon 1
well 1
when 2
while 1
wife 1
with 3
working 1
