11924600
/m/02ry95f
/m/02ry95f
Kurt Vonnegut


a 8
above 1
acting 1
after 1
against 1
age 1
all 1
alone 1
an 2
and 7
angry 1
anyone 1
apartment 1
arrives 1
at 2
be 1
bear 1
beautiful 1
beauty 1
brings 1
but 1
by 2
conversation 1
country 1
daily 1
day 1
debut 1
decides 1
door 1
draining 1
dream 1
dreary 1
else 1
emotionally 2
end 1
entrance 1
even 1
every 1
exciting 1
feelings 1
female 1
fire 1
for 1
forgives 1
fragile 1
friendlier 1
from 1
frustration 1
fuller 5
gather 1
go 1
had 1
he 1
her 9
his 2
hopes 1
house 1
how 1
however 2
hurt 1
hurtful 1
in 6
is 6
just 1
leave 1
little 1
lives 1
lonely 1
make 2
man 3
miss 1
move 1
much 1
name 1
neither 1
new 1
nice 1
night 1
no 1
nor 1
norman 1
of 3
on 2
out 3
outburst 2
precipitated 1
pretty 1
rainbow 1
real 1
realized 1
really 1
rejection 1
room 1
see 1
sex 1
shattered 1
she 5
shy 1
small 1
store 1
susanna 5
takes 1
temptation 1
terms 1
the 5
theater 1
their 1
those 1
to 10
too 1
town 2
two 1
vulnerable 1
way 1
which 1
who 1
will 1
with 1
women 1
words 1
world 1
years 1
young 2
