327121
/m/01w8wp
/m/01w8wp
Neal Stephenson
2003-09-23
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1661 1
1665 1
1672 1
1673 2
1683 1
1685 1
1713 4
a 35
able 1
about 2
accompany 1
accomplices 1
acquiring 1
active 2
actors 2
actress 1
acts 2
advisor 1
after 5
afterwards 1
again 1
agent 1
agree 1
agrees 1
aid 1
alchemical 1
alchemists 1
alone 1
along 1
also 1
ambassador 1
ambitious 1
amsterdam 4
an 8
and 56
anglesey 1
apart 1
apothecary 1
application 1
architect 1
are 1
area 1
army 1
arrested 1
arrival 1
arrive 1
arrives 2
as 9
assisting 1
at 10
atlantic 1
atop 1
attack 1
attacking 1
attempt 3
attempted 1
attempts 1
attending 1
attracts 1
aware 1
back 1
ballroom 1
band 1
bankers 1
bar 1
barbary 1
barn 1
battle 1
bay 1
be 2
because 1
become 3
becomes 11
bed 1
bedlam 1
been 1
before 1
befriends 1
begin 1
begins 2
behind 1
benefit 1
between 6
bills 1
blackbeard 1
bladder 1
blood 1
blows 1
board 1
bob 1
bodyguard 1
bohemia 1
bolstrood 1
book 7
border 2
boston 1
both 2
boyle 1
break 1
brief 3
british 1
broker 1
brother 2
build 1
but 3
by 18
calculus 1
calls 1
cambridge 3
camp 2
capture 1
captured 3
caroline 1
case 1
catches 1
caused 2
causes 1
cave 1
changes 1
charles 1
charlesnbspii 1
charlotte 1
child 1
childhood 1
children 1
christiaan 1
churchill 2
close 1
coincides 1
collapsed 1
college 2
color 1
commodities 1
companion 1
comstock 2
connecting 1
connection 1
containing 1
continues 1
convinced 1
convinces 1
correspondence 1
costume 1
countess 1
court 8
courtier 2
cowry 1
create 2
creates 1
cross 1
crowd 1
cryptographer 1
daniel 38
darcachon 3
day 1
death 2
decide 1
decides 1
decision 1
deeply 1
deliver 1
demise 1
depart 2
departs 1
despite 1
destroys 1
detained 1
detracting 1
detraction 1
dies 1
diminishing 1
disgusted 1
disreputable 1
doctor 1
does 1
dogs 1
double 1
drake 3
dressed 1
duke 2
during 9
dutch 2
each 1
earl 1
earlier 1
edward 1
effects 1
electorate 1
elevation 1
eliza 18
elizabeth 1
embroiled 1
employer 1
encounter 3
encountering 1
encounters 3
end 1
england 4
english 4
enoch 3
ensures 1
ensuring 2
entrance 1
epsom 1
escape 2
escapes 4
escort 1
estate 2
etienne 2
european 3
execution 1
expels 1
experiments 3
exploration 1
expulsion 2
extensive 1
extensively 1
eye 1
fair 2
fallingout 1
family 2
father 2
fatio 2
feathers 3
fellows 1
fends 1
fervour 1
feud 1
filled 1
finally 2
find 3
