11801646
/m/02rs_sj
/m/02rs_sj
Simon Guerrier

{"/m/014dfn": "Speculative fiction"}
a 7
about 1
accidentally 1
activating 1
adjusted 1
after 7
again 4
agrees 2
alien 1
all 1
allow 1
allowing 1
alter 1
alters 1
amazed 1
an 2
and 50
announces 1
another 2
antagonises 1
appeared 1
archibald 11
are 9
arrival 2
arrive 1
arrived 1
as 7
asks 2
at 6
attack 1
attacked 1
attacks 1
attempt 2
attempting 1
attempts 1
back 6
badger 2
badgerfaced 1
badgers 11
barrier 2
be 2
because 1
become 2
been 5
befriended 1
behave 1
being 1
blocked 2
blocks 1
board 1
body 1
booth 1
both 1
breaking 1
bridge 4
brilliant 4
brought 2
but 10
by 12
can 1
canap 1
canaps 4
cannot 1
capsule 1
capsules 2
captain 7
capture 1
chance 1
city 1
cocktail 4
come 1
coming 1
completed 1
comrades 2
connecting 1
contact 1
continue 1
convinces 2
cooperate 1
corridor 2
crashes 1
crew 4
culture 1
cycle 1
dagger 2
dance 1
danger 1
dashiel 9
decisions 1
deducing 1
destroys 1
did 1
die 1
died 2
dies 1
different 1
disabled 1
disabling 1
disappeared 2
disintegrate 2
disintegrated 1
disintegrates 1
doctor 26
door 4
doors 2
drained 1
draining 1
drive 8
duels 1
egg 5
eggshaped 1
either 1
electrical 2
emerges 1
emerging 2
energy 2
engine 7
enter 1
enters 2
escape 1
escaping 1
escorts 2
every 1
everyone 3
expend 1
experimental 2
explaining 1
explains 2
exploding 1
expresses 1
extended 1
family 1
faster 1
find 4
finds 2
fire 2
first 1
florence 3
flows 1
food 4
for 3
found 1
from 8
frozen 1
gabriel 8
georgina 3
goes 1
going 1
gone 1
grabs 1
grace 1
guard 1
gun 2
guns 4
had 1
has 8
have 6
having 1
he 16
head 1
heads 1
help 1
her 6
herself 3
him 10
his 2
hits 1
holes 1
hours 1
however 4
immediately 1
impossible 1
impressed 1
in 10
include 1
incomplete 1
initially 1
instead 2
intend 1
into 2
invade 1
invaded 1
investigate 1
invites 1
is 18
issues 1
it 11
its 1
jocelyn 11
join 1
kelly 1
killed 3
kills 1
knocked 2
lack 1
last 1
leads 2
learns 2
leave 3
leaves 1
leaving 2
led 1
left 1
let 1
lets 1
life 4
lift 1
like 1
longer 1
loop 5
lounge 4
make 1
martha 20
meanwhile 1
mechanics 2
meets 2
membrane 5
mentions 2
met 1
mika 1
milkypink 1
more 1
mouths 1
move 1
mrs 8
mysteriously 2
needs 1
negotiate 2
neverending 1
no 1
not 1
note 2
notes 1
noting 1
now 1
observing 1
of 13
off 1
offer 1
offers 3
on 10
once 3
one 1
only 1
open 1
or 1
orders 1
other 4
out 6
overeager 1
party 3
partygoers 1
pass 4
passed 1
passenger 1
passengers 5
passes 1
people 1
pirate 7
pirates 3
power 1
preventing 1
prisoners 1
promise 1
promptly 1
protect 1
pursued 1
putting 1
raised 1
rates 1
reach 1
reaching 1
real 1
realises 3
reality 2
recycled 1
reflects 1
reforms 1
refuse 1
refuses 1
region 1
regions 1
reluctantly 1
replenished 2
replenishing 1
resolved 1
resolves 1
resurrected 5
resurrecting 1
return 3
risk 1
robot 1
robots 2
room 6
rooms 2
runs 2
scorn 1
scout 1
scrambled 5
screens 1
screwdriver 2
selfsustaining 1
separates 2
serving 1
share 1
she 15
shields 1
ship 18
shoot 2
shoots 4
shot 1
similarly 1
since 1
skipping 1
slavelike 1
slower 1
slowly 1
small 1
so 3
some 3
song 1
sonic 2
space 1
spacetime 2
stabs 2
stalled 1
starship 6
startled 1
steal 1
steward 1
stolen 1
stopped 1
take 2
taken 2
takes 1
tardis 5
tells 2
tend 1
than 1
that 24
the 140
their 7
them 7
then 2
there 1
they 16
third 1
this 1
three 3
through 3
time 8
to 55
together 1
told 1
transmat 1
travel 2
tray 2
tricked 1
truce 1
try 2
two 1
unable 1
unconscious 1
unfrozen 1
unsuccessful 1
up 1
uses 2
using 4
vessel 1
wakes 1
wall 1
warn 1
warp 1
was 2
were 1
weteleven 1
when 2
where 7
which 5
while 1
who 5
will 2
window 1
wingsworth 8
with 10
woke 1
works 1
world 1
