12077469
/m/02vp1vq
/m/02vp1vq
Ann Weldy
1959
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 24
about 2
accuses 1
admits 2
affair 1
afraid 1
after 7
again 1
alcoholic 1
all 1
allows 1
alone 1
along 1
also 2
an 4
and 33
any 2
apartment 4
apologize 1
argue 1
arm 2
around 1
as 4
ashamed 1
ashtray 1
asks 1
at 5
attempts 1
attracted 1
attraction 1
away 1
bar 4
be 1
because 1
beebo 8
begin 1
begins 1
being 1
believe 1
betty 1
between 1
bit 1
born 1
boyfriend 1
brings 1
brinker 1
brother 1
burr 7
but 4
butch 1
by 3
calls 1
can 1
care 1
character 1
city 1
clearly 1
college 1
comes 1
completely 1
confides 1
confounds 1
confront 1
constantly 1
contact 1
contain 1
convention 1
could 1
couple 1
darkhaired 1
date 3
deal 1
deeply 1
depends 1
desperate 1
develop 1
different 1
dislikes 1
double 1
doubt 1
drinks 1
drowned 1
drunk 2
ease 1
ending 1
enough 1
evening 1
excitement 1
exhausted 2
exhusband 1
explains 1
expresses 1
failed 1
father 7
fearing 1
few 1
fiction 1
fight 1
fighting 1
fights 1
finally 2
finding 1
for 3
frequently 2
friend 2
friends 1
from 4
frustrated 1
game 1
gay 3
gets 2
getting 1
girl 1
gnawing 1
goes 1
going 1
goodnatured 1
greenwich 2
harsh 1
has 2
hates 1
have 1
he 7
head 1
hears 1
heartbroken 1
helps 1
her 25
hernbsp 1
herself 1
him 6
his 5
hits 1
home 2
hotel 1
house 1
humiliating 1
humor 1
if 2
impulsive 1
in 18
insists 1
intensely 1
intensity 1
intrigue 1
intrigued 1
introduces 1
is 11
it 3
jack 10
jean 1
job 2
joins 1
joke 1
journalists 1
judging 1
keeping 1
killed 1
knows 2
landon 1
lands 1
last 1
later 1
laugh 1
laura 31
learns 1
leaves 2
left 2
lesbian 1
living 1
loneliness 1
longing 1
love 5
loves 1
main 1
make 1
man 1
mann 1
marcie 16
medical 1
meet 1
middle 1
mother 1
moved 1
moves 1
mutual 1
new 4
night 2
not 1
odd 1
of 9
office 1
on 3
one 1
only 2
out 4
over 1
perception 1
playing 1
previous 1
puts 1
rain 1
reactions 1
realization 1
rebuked 1
recognizes 1
refuses 1
relationship 2
return 2
returns 1
roommatenbsp 1
routine 1
runs 2
save 1
school 1
secretary 1
seduce 1
seeing 1
selfdeprecating 1
sense 1
she 16
shocks 1
shows 2
sincere 1
sincerity 1
sleep 2
so 1
sobers 1
sofa 1
speaking 1
spy 1
statement 1
stops 1
story 1
straight 1
strain 1
swaggering 1
take 1
takes 1
tall 1
tells 4
tempers 1
that 10
the 16
their 1
them 2
they 6
times 1
to 23
together 2
torrid 1
town 1
travels 1
try 1
unable 1
under 1
unravel 1
up 3
vague 1
very 1
village 2
violent 1
vivacious 1
walk 1
wandering 1
wanted 1
warns 1
was 2
watches 1
when 2
which 1
who 3
will 3
with 15
women 1
work 2
year 1
york 1
young 2
