11243908
/m/02r4x6x
/m/02r4x6x
Michael Reaves

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
agendas 1
an 3
and 1
architect 1
as 2
aware 1
behind 1
capable 1
constructed 1
construction 1
death 2
depicts 1
destroying 2
destruction 1
emperor 1
empire 1
enemies 1
enormous 1
entire 1
fear 1
final 1
from 1
galaxy 1
give 1
hidden 1
him 1
his 1
in 1
instill 1
invaluable 1
is 1
its 2
knew 1
many 1
massive 1
new 1
novel 1
of 6
orders 1
palpatine 2
planet 1
politics 1
possibility 1
project 2
rebellion 1
ruler 1
space 1
star 2
station 1
tarkin 1
that 1
the 12
then 1
throughout 1
under 1
until 1
up 1
was 1
weapon 1
well 1
wilhuff 1
would 1
