11670882
/m/02rnfcq
/m/02rnfcq
Laura Hickman
1984
a 8
adventure 1
adventures 1
an 3
and 3
are 1
as 1
b7 1
beautiful 1
beneath 1
black 1
break 1
built 1
buried 1
by 2
capture 1
captured 1
characters 1
cleric 1
curse 1
dark 1
demands 1
do 1
drawn 1
dungeons 1
elf 1
elven 4
enter 2
evil 2
fairest 1
find 1
for 1
free 2
from 1
good 1
group 1
has 1
he 1
held 1
help 1
heroes 1
herself 1
in 3
into 1
is 3
kidnapped 3
known 1
maid 1
maidens 2
module 1
most 1
mountain 1
must 2
now 1
of 4
old 1
only 2
others 1
over 1
player 1
plea 1
priest 1
rahasia 4
rahib 2
revised 1
rock 1
rpga1 1
ruins 1
sacred 1
save 2
seek 1
so 1
surrender 1
taken 1
temple 3
that 1
the 15
they 2
this 1
threatened 1
to 6
tower 1
two 1
under 1
upon 1
village 2
way 1
when 1
wizard 1
women 1
