5854625
/m/0f95m9
/m/0f95m9
Willa Cather
1925
{"/m/05hgj": "Novel"}
a 4
added 1
addresses 1
all 1
alluding 1
alone 1
also 1
an 3
ancient 1
and 6
as 1
attempt 1
augusta 1
because 1
becomes 1
been 1
but 1
by 3
central 1
city 1
cliff 1
continually 1
created 1
crisis 1
daughter 1
daughters 1
death 2
die 1
due 1
dusty 1
elder 1
escapes 1
european 1
expensive 1
exploration 1
family 3
feel 1
feeling 1
fianc 1
final 1
finds 1
firstperson 1
forward 1
friend 2
from 1
gas 1
go 1
godfrey 1
great 1
hang 1
has 3
have 1
he 6
himself 1
his 12
home 1
house 2
in 7
initially 1
interactions 1
is 4
keeps 1
leak 1
leaves 1
left 1
life 3
live 1
living 1
look 1
lost 1
marriages 1
mexico 1
midlife 1
move 1
narrative 1
narrowly 1
new 4
not 1
nothing 1
novel 2
now 1
of 5
off 1
old 3
on 3
only 1
outland 4
over 1
pain 1
peter 1
precipitating 1
professor 6
recounts 1
remembered 1
removed 1
rescued 1
resolves 1
retrospective 1
route 1
seamstress 1
section 3
sonsinlaw 2
st 1
staunch 1
story 1
strangely 1
student 1
study 2
takes 1
taking 1
that 1
the 22
them 1
they 1
though 1
throughout 1
to 11
tom 1
tour 1
turns 1
two 2
uncomfortable 1
vacuum 1
war 1
was 1
wealth 1
when 1
while 2
who 2
wife 1
will 1
willing 1
with 3
