24602332
/m/080h189
/m/080h189
'Asta Bowen
1997-01-13
{"/m/03mfnf": "Young adult literature"}
a 27
abandons 1
across 2
adults 2
after 5
again 2
aging 1
ago 1
alive 1
all 1
alone 1
alpha 1
an 1
and 42
annie 4
another 2
appear 1
appearing 1
appears 1
are 7
area 3
around 2
arrives 1
as 8
at 3
avoid 1
awaken 1
awakens 1
away 1
back 2
be 2
bear 1
become 2
before 2
begin 4
begins 2
behind 1
believes 1
benefactor 1
between 1
birth 2
black 1
blindly 1
brief 1
bring 1
bulk 1
but 5
by 6
cages 1
calef 2
can 1
captured 1
care 1
caught 1
cause 1
chewing 1
clearing 1
closer 1
collapse 1
collapses 1
collars 1
come 1
consists 1
continues 2
couple 1
cross 1
crosses 1
crossing 2
cubs 3
days 3
death 1
den 3
dies 1
difficult 1
direction 1
disappearing 1
distance 1
down 1
downward 1
drink 1
drive 1
dulled 1
during 1
early 2
eat 1
edge 1
elk 2
end 2
enough 1
ensure 1
escapes 1
events 1
eventually 1
ever 1
every 1
examined 1
exhaustion 1
experienced 1
explorations 1
facility 1
familiar 1
father 1
favored 1
fed 1
feed 1
female 1
few 4
find 4
first 1
flathead 1
flight 1
following 1
food 1
foot 1
for 4
forest 1
forested 1
forget 1
fork 2
form 1
free 1
freeway 1
frequently 1
fresh 1
friendly 1
from 3
fully 1
game 1
gives 1
goes 1
good 1
gray 1
greatfoot 4
grizzly 1
groggy 1
grow 2
has 1
have 1
he 5
heading 1
hear 1
hearing 1
helicopter 1
her 8
herd 1
herself 1
high 1
highway 1
him 1
his 4
home 3
homes 1
horse 1
how 3
however 2
howl 4
human 8
humans 5
hunger 1
hungry 1
hunt 6
hunter 1
hunting 3
hunts 1
ignores 1
ignoring 1
illness 1
in 16
increase 1
inhabited 1
initially 1
instincts 2
into 1
is 15
it 4
keep 2
kept 1
kill 2
killed 4
kills 1
lake 2
lame 1
large 3
larger 1
later 2
lead 1
leader 1
learn 1
leave 2
leaves 1
leaving 2
left 2
leg 2
lindbergh 1
livestock 1
local 1
locked 1
lone 1
lost 1
maintain 1
make 1
makes 2
making 1
male 2
man 1
marta 13
mate 1
mating 1
meanwhile 1
meat 1
meet 1
meets 1
middle 2
mission 1
montana 1
months 1
more 2
morning 1
most 1
mountains 1
much 1
named 1
near 2
nearby 2
necks 1
new 1
night 1
ninemile 1
no 1
not 2
now 1
occasional 1
of 14
off 1
old 1
oldtooth 8
on 4
once 1
one 4
only 3
other 1
outside 1
over 2
own 1
pace 1
pack 4
parents 1
pause 1
pausing 1
paw 1
paws 1
peak 1
periods 1
place 1
pleasant 2
poacher 1
poachers 1
populations 1
provider 1
provides 1
pups 7
pyramid 1
quietly 1
radio 1
railroad 1
raise 2
range 2
rann 2
reach 1
reaches 1
reappear 1
recovers 1
refused 1
region 1
regularly 1
remains 1
reservoir 1
resting 1
return 2
river 1
roads 1
run 2
running 2
runs 1
scent 2
sedated 1
seen 1
settle 1
settles 1
seven 1
sevenyearold 1
several 1
she 12
shore 1
short 1
shortly 1
shot 1
six 1
skirmish 1
slower 1
slowly 3
small 1
smell 1
sole 1
soon 1
sound 1
south 1
specifically 1
spring 1
spurs 1
stares 1
starve 1
steel 1
still 1
stops 1
strange 2
strangeness 1
stronger 1
successfully 1
sula 4
summer 3
survive 2
swan 2
swimming 1
swims 1
taken 1
takes 1
teach 1
teaching 2
teeth 1
tend 1
than 1
that 3
the 50
their 11
them 5
themselves 1
they 13
though 5
three 2
through 2
time 2
to 31
track 1
tracks 1
trail 1
trails 1
tranquilized 1
tranquilizer 1
trap 1
traps 1
traveling 1
travels 1
treated 1
tries 1
triggers 1
truck 1
try 1
two 2
unable 1
unconscious 1
under 1
unskilled 1
unsuccessful 1
until 1
unusual 1
urgent 1
usual 1
valley 5
various 1
water 2
way 1
ways 1
weaned 1
weaning 1
week 1
weeks 1
well 1
were 1
when 5
where 3
while 3
will 1
winter 4
with 2
without 2
wolf 6
wolves 3
woodlands 1
wound 1
years 1
young 2
