658985
/m/02p2sl0
/m/02p2sl0
Patrick O'Brian
1999
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 30
aboard 2
about 2
accept 1
action 2
admiral 1
admiralty 1
affair 1
african 1
after 8
again 1
against 1
agree 1
ahead 1
also 1
alta 1
although 1
altogether 1
amos 2
an 1
and 32
any 1
appears 1
arrives 2
as 3
asks 1
assist 1
assisted 1
at 11
attractive 1
attracts 1
aubrey 14
aubreys 1
barmouth 2
becomes 1
bernardo 1
between 1
blaine 4
blue 1
bold 1
bombard 1
boy 1
brig 1
brigid 1
british 1
britishchilean 1
broadside 1
but 3
by 5
cala 1
callao 1
cape 1
capture 1
capturing 1
carrera 1
chests 1
chile 2
chilean 5
chileans 2
christine 1
clandestine 1
clarence 2
coded 3
coelho 1
collides 1
colonel 1
command 2
competent 2
compose 1
concepcion 1
conducts 2
confirming 1
confront 1
consent 1
continues 1
conveyed 1
cousin 2
crew 2
cut 1
cuttingout 1
daughter 1
david 3
day 1
decides 2
delayed 1
delight 1
delivery 2
describing 1
destroy 1
determine 1
diana 1
dies 1
different 1
difficult 1
dinner 2
director 1
does 1
don 2
dorset 1
dr 2
dreams 1
drop 1
duel 1
duke 3
each 1
eduardo 1
eight 1
elaborates 1
end 1
england 3
episode 1
erotic 1
esmeralda 1
esmeraldas 1
essential 1
eventually 1
examination 1
exercising 1
expedition 1
factions 1
famous 1
fictional 1
fiftygun 1
fights 1
finally 1
finds 1
first 2
five 1
flag 1
flames 1
following 1
for 12
force 1
forces 1
former 1
fort 1
fought 1
four 1
freetown 1
frigate 4
from 6
fully 1
funchal 1
general 1
gibraltar 1
gives 1
giving 1
go 1
gold 1
gradually 1
green 1
grounding 1
group 1
gunemplacements 1
hanson 2
happy 1
hardfought 1
has 5
hastens 1
have 1
having 2
he 4
heads 1
heavily 1
help 1
her 5
here 1
him 3
his 13
hms 1
hoisting 1
home 1
horatio 2
horn 1
husband 1
illegitimate 1
implacable 1
importantly 1
impotent 1
impound 1
in 14
independence 1
initially 2
insists 1
into 2
invade 1
isobel 1
it 1
jack 2
jacob 5
joseph 3
junta 2
juntas 1
just 1
king 1
late 1
lavish 1
learning 1
leaving 1
leone 1
letter 1
levelheaded 1
lieutenant 1
lindsay 3
lisbon 1
living 1
local 2
london 1
long 1
lord 2
madeira 1
make 2
makes 2
marriage 2
marry 1
mathematical 1
maturin 9
meantime 1
meet 2
meeting 2
merchantman 1
message 2
midshipman 1
miguel 2
mission 1
mizzen 1
moderate 1
more 4
mule 1
mutually 1
napoleonic 1
natural 1
naval 2
navigator 1
navy 3
need 1
new 1
news 1
next 1
nordic 1
northern 1
note 1
of 21
officers 3
ohiggins 1
on 4
once 1
one 2
order 1
other 1
out 3
overland 1
pacific 1
packet 1
panama 1
passage 1
patricio 1
peruvian 2
philosophy 1
physically 1
pieces 1
pilln 1
plan 2
plans 2
plate 1
popular 1
port 1
post 1
preference 1
president 1
previous 1
privateer 1
prizemoney 1
propose 1
propriety 1
reaches 1
receives 3
receiving 1
recruits 1
reequipped 1
refers 1
refit 1
regarding 1
reluctant 1
repair 1
repairs 3
report 1
republican 1
requests 1
requires 2
retaining 1
return 2
returning 1
returns 1
revolutionaries 1
ride 1
ringle 5
river 1
rounding 1
royal 1
royalist 1
sail 2
sailor 1
sailors 1
sake 1
san 1
santiago 1
schooner 1
secret 1
secure 1
see 1
seek 1
sentiment 1
seppings 1
serious 1
services 1
sets 1
share 1
shares 1
she 3
shelmerston 1
ship 3
shipmate 1
ships 2
shoulder 1
sides 1
sierra 1
silver 1
sir 6
sit 1
situation 1
skills 1
sloops 1
so 1
son 2
sophie 1
south 2
southern 1
southerners 1
spain 1
spanish 1
split 1
squadron 1
stays 1
stephen 2
storage 1
stores 2
strengthen 1
strong 1
succeeds 1
suffered 1
suffers 1
support 1
supreme 1
surprise 10
survey 1
take 1
takes 3
tastes 1
than 1
that 4
the 67
their 2
then 2
there 2
they 1
thigh 1
this 1
thorough 1
thousand 1
three 1
timber 1
time 2
to 36
training 1
troops 1
turns 1
two 2
unwilling 1
updates 1
use 1
valdes 1
valdivia 2
valiantly 1
valparaiso 3
value 1
very 1
via 1
viceroy 2
villanueva 1
visit 1
voyage 1
wars 1
way 3
whalers 1
where 2
which 3
while 1
whilst 2
who 1
whom 1
widow 1
wife 2
will 1
with 8
wood 1
woolcombe 1
work 1
wounds 1
writes 1
yard 3
young 3
