26399508
/m/0bbwfrb
/m/0bbwfrb
Michael E. Marks
2009-10
{"/m/06n90": "Science Fiction"}
a 21
acclaim 1
address 1
affix 1
after 1
against 2
alien 1
aligned 1
alignment 1
allows 1
along 2
an 4
and 18
another 1
appears 1
are 1
armor 1
as 3
assault 1
at 1
atrocity 1
avenue 1
be 1
becomes 1
begin 1
below 2
blistering 1
book 2
both 1
breaking 1
bring 1
burden 2
but 1
by 2
career 1
carries 1
carve 1
caverns 1
challenges 1
come 1
conclusion 1
considerable 1
created 1
crew 1
critical 1
cuts 1
damned 2
dan 1
darcy 1
deal 1
decision 1
deeper 1
deepunderground 1
defense 1
defenses 1
definitions 1
deployed 1
despite 1
detonation 1
directly 1
discover 1
discovering 1
displays 1
distant 1
do 1
doing 1
dont 1
driver 3
early 1
effort 1
egress 1
employing 1
encounters 1
engaged 1
enter 1
entirely 1
environment 2
escape 3
even 1
evidence 1
explosives 1
extracting 1
face 1
facility 1
fallen 1
far 1
firefights 1
firm 1
focus 1
for 2
force 1
frailty 1
frequency 1
from 1
frozen 1
government 1
grapple 1
greater 1
groundbased 1
has 2
have 1
hazardous 1
heavy 1
her 2
him 2
his 3
history 1
horrific 1
hull 1
humanity 1
if 2
immediately 1
immense 1
imminent 1
impact 1
impeded 1
in 6
inadvertently 1
increasing 1
infiltrating 1
information 1
injuries 1
intact 1
intensity 1
internal 1
into 1
is 4
it 1
its 1
jenner 1
job 1
just 1
key 1
kilometers 1
lastditch 1
lead 1
leader 1
leaves 1
level 1
lies 1
life 1
lifethreatening 1
limited 1
line 1
longstanding 1
lowly 1
loyalty 1
lucrative 1
maintains 1
major 1
marines 4
means 6
member 2
military 2
mining 1
more 1
mysteries 1
mystery 1
need 1
not 1
obvious 2
of 19
official 1
on 3
one 2
only 1
operation 1
opposing 2
opts 1
or 1
original 1
our 1
out 1
outer 1
path 1
perceive 1
personal 2
pieces 1
pitched 1
planet 2
point 1
potential 1
power 2
powered 1
powers 1
protagonist 1
pursuing 1
quickly 1
rapid 1
rat 2
reaching 1
reactor 4
reawakened 1
reclaiming 1
refit 1
remains 1
remarkable 1
repair 1
resistance 1
restore 1
ridgeway 7
runs 1
sacrifices 1
safe 1
save 1
saves 1
searching 1
seceded 1
series 2
several 1
ship 5
side 1
so 1
solve 1
source 1
species 1
squad 3
starship 1
stiff 1
straight 1
stranded 1
strategically 1
stress 1
strike 1
surface 2
surgical 1
survival 2
systems 1
team 4
technology 1
than 1
that 9
the 38
their 1
them 2
they 2
things 1
through 1
time 1
to 15
traditional 1
truck 1
two 1
ultimate 1
unorthodox 1
unravel 1
usmc 1
viewing 1
views 1
way 1
ways 1
we 1
weight 1
what 2
where 1
while 1
with 5
within 1
won 1
workers 1
you 2
