19680452
/m/04n43z5
/m/04n43z5
Caroline Lawrence
2006
100000 1
13 1
80 1
a 37
abandoned 2
abducted 1
about 2
accident 1
accidents 1
accomplices 1
acquired 1
action 1
ad 1
after 5
against 1
ago 1
agrees 2
all 2
already 2
also 2
although 1
amazement 2
ambivalent 1
among 1
an 1
and 43
another 1
any 1
are 9
aristo 1
around 1
arrange 2
arranged 1
arrives 1
arriving 1
as 12
asking 1
asks 1
asthma 1
at 4
attack 1
attend 1
avid 1
away 1
awkward 1
back 3
barely 1
be 3
become 1
been 4
before 3
beggar 5
begin 2
begins 1
behavior 1
being 6
believes 2
belongs 1
berserk 2
best 1
bet 1
better 1
betting 1
birthday 1
bitter 1
blames 1
blessing 1
blows 1
bond 1
bone 1
both 2
boy 2
boys 1
brave 1
burn 1
burned 1
burning 2
but 7
by 6
calling 1
came 1
can 1
caught 1
causing 1
celebrating 1
celebrity 1
chance 1
chant 1
chariot 3
charioteer 2
charioteers 4
chariots 2
children 3
circus 2
co 1
coin 1
come 1
commission 1
complimentary 1
conditioned 1
confides 1
conspiracy 1
convinced 1
convinces 1
cornix 7
crash 2
crashes 1
crisis 1
crowd 1
crown 1
dangerous 1
day 2
days 1
debris 1
delphi 1
despise 1
despite 1
disappeared 1
disguised 1
does 2
doesnt 1
douses 1
drags 1
drive 1
driven 1
drivers 1
during 2
earning 1
else 1
empathy 1
emperor 1
enthusiasm 1
entry 1
escape 1
ever 1
everyone 3
everything 1
exactly 1
examples 1
exposing 1
facing 1
faction 2
factions 1
fail 1
falling 1
families 1
family 2
fan 1
far 1
fatal 1
father 1
favor 1
fear 1
fears 1
felix 1
fetch 1
few 1
find 3
fire 4
first 3
fix 1
flames 1
flavia 12
flute 1
followed 1
for 9
former 1
fortune 1
forward 2
four 1
free 1
freedom 1
friend 2
friends 2
from 6
gambling 1
games 1
get 3
gives 2
go 2
goes 1
gone 2
great 2
greece 1
green 1
greens 10
groom 2
grooms 1
grudge 1
grudgingly 1
has 14
have 4
having 1
he 19
healthy 1
hear 1
help 2
helped 1
her 9
herself 1
hiding 1
hierax 3
highpitched 1
him 9
himself 3
his 20
home 1
horse 6
horses 4
house 5
hurt 1
identity 1
if 1
in 19
including 2
indeed 1
inexplicably 1
inhalation 1
inside 4
introduction 1
invites 1
is 15
isnt 1
it 6
jealousy 1
job 1
join 1
jonathan 3
jump 1
knocks 1
known 1
knows 1
lamp 1
later 1
lead 3
leads 1
learn 1
leave 3
left 1
leg 1
legs 1
letter 2
life 1
lives 1
looking 1
losing 2
love 3
lupus 4
lupuss 1
maimed 1
makes 1
man 1
manner 1
maximus 1
may 1
meet 1
melissa 1
members 1
memories 1
message 1
mind 1
mistake 1
most 1
mother 1
mounts 1
my 2
name 2
named 3
near 1
nearfatal 1
new 2
next 4
nightmares 1
not 1
note 1
novice 1
now 2
nubia 16
of 20
offering 1
often 1
old 1
on 11
one 4
onelegged 2
only 2
or 1
ostia 1
other 3
others 3
out 4
outfitted 1
over 1
owned 1
panics 1
paranoia 1
pegasus 12
permits 1
personal 1
pins 1
place 2
pollius 1
porcius 1
possibly 1
practice 1
prestigious 1
previous 1
previously 1
prize 1
publius 1
put 1
race 6
races 4
racing 4
rather 1
ready 1
realizes 4
realizing 1
rears 1
receive 1
receives 1
recently 1
recognizes 1
recovers 1
red 1
reds 1
reinforcements 1
remainder 1
remembering 1
repair 1
replacing 1
replicas 1
result 1
retired 1
return 2
returned 1
reveals 1
revenge 1
reward 2
rid 1
ride 2
riders 1
right 1
risk 1
rome 6
run 3
running 1
runs 3
rush 1
rushes 1
sabotage 2
safe 1
safety 1
sagitta 5
said 1
same 1
save 1
savings 1
say 1
saying 1
says 3
scopas 11
scopass 1
scopus 1
scorpus 1
scouts 1
seats 1
see 2
seems 1
sees 1
seizes 1
senator 7
sends 3
senses 1
september 1
series 1
sestercii 1
setting 1
several 2
she 6
showing 1
signs 1
sirens 1
sisyphus 1
skeptical 2
slave 1
small 1
smoke 1
so 1
some 1
someone 1
something 1
son 1
sound 1
stable 3
stables 7
stall 1
stallion 1
star 1
start 1
statuettes 1
stealing 1
steps 2
strange 2
strangely 1
success 1
suffering 1
supposedly 1
surprising 1
surrentum 1
suspects 1
take 1
taken 2
takes 2
targeted 1
team 3
teenaged 1
tent 1
terrible 2
than 1
that 19
the 88
their 9
them 2
then 2
theorizes 1
theory 1
there 2
they 8
things 1
this 1
though 2
through 2
throwing 1
tie 1
time 1
to 47
told 1
tortured 1
track 4
trainer 1
trapped 2
tricks 1
trip 1
triumph 1
triumphal 1
true 2
truly 1
trying 1
turns 1
two 3
uncle 1
unheard 1
until 1
up 3
urbanus 9
vengeful 1
very 2
victims 1
victory 2
volunteering 1
votive 1
voyage 1
waiting 1
was 2
watch 1
water 1
wax 1
way 1
weeks 1
well 1
were 2
when 7
where 2
which 2
whispering 1
whistle 1
who 7
whole 1
win 1
wins 2
with 15
without 1
won 1
work 1
works 1
would 1
wrong 1
year 2
years 1
yelling 1
young 2
