12336423
/m/02v_qxq
/m/02v_qxq
Jack Womack
1993
107 1
141 1
144 1
146 1
154 1
18 1
a 13
abduction 1
abolished 1
abraham 1
actually 1
advantage 1
african 1
africanamerican 1
after 1
already 1
alternate 5
although 3
american 2
amidst 1
an 7
and 27
anger 1
antihuman 1
are 4
armistice 1
as 5
assassinated 2
assassination 1
assisted 1
assumes 1
at 3
atomic 1
aware 1
back 1
backward 1
barbarossa 2
based 1
bath 1
be 2
became 1
because 1
become 2
becomes 1
before 1
behind 1
belief 2
beliefs 2
believers 1
believes 1
betray 1
bombs 1
bootleg 1
bringing 1
britain 1
but 3
by 3
can 2
cathedral 1
caucasian 1
centered 1
central 1
chancellor 1
child 1
chosen 1
christianity 2
churchill 1
civil 2
cognizant 1
collides 1
comes 1
commits 1
communicates 1
compared 1
comprehends 1
continue 1
convention 1
core 1
cosmetic 1
cost 1
couple 1
creator 1
criteria 1
day 1
debris 1
deceived 1
decides 1
declares 1
defeats 1
delano 1
demand 1
demiurge 1
did 1
discredit 1
displays 1
divergence 1
divine 1
do 1
does 2
dominant 1
dropping 1
dryco 9
dualist 1
due 2
during 1
dying 1
early 1
east 1
elcon 1
elvis 9
elvisian 1
encounter 1
end 2
envisaged 1
escalates 1
escape 1
europe 1
evangelical 1
everything 1
evil 1
exile 1
extent 1
facing 1
failed 1
faith 1
fetus 1
figure 1
first 1
flawed 1
for 3
forties 1
fourteen 1
framework 1
franklin 1
frightened 1
from 3
gathering 1
germany 2
gladys 1
gnostic 2
gnosticism 1
great 1
has 4
he 10
health 1
healthy 1
her 2
hierarchy 1
him 4
himself 1
hinted 1
his 10
history 2
hitler 1
home 1
homeworld 1
horrified 1
however 3
ii 2
illness 1
in 23
inconclusive 1
instead 2
instrument 1
intends 2
intense 1
irradiated 1
is 14
islands 1
it 7
its 3
iz 9
japan 1
john 7
join 1
joseph 1
last 1
latent 1
later 1
launch 1
lead 1
leads 1
led 1
leon 1
life 1
lincoln 1
living 1
local 1
london 2
loses 1
manipulate 1
married 1
masquerade 2
mass 1
material 1
meanwhile 1
mental 2
messiah 1
messianic 1
mexico 1
miracles 1
moment 1
moments 1
morally 1
moreover 1
movement 1
much 1
multi 1
murdered 1
mythology 1
nazi 3
nazisoviet 2
never 1
new 3
nonverbally 1
not 5
novel 2
now 1
occur 1
of 15
offers 1
on 4
only 1
operation 1
orthodox 1
out 2
outcome 1
own 2
pacific 1
pact 2
past 1
pathology 1
paul 1
performed 1
personal 1
persuaded 1
philosophy 1
place 1
plan 1
point 1
polar 1
poor 1
position 1
posthumous 1
poststalinist 1
power 2
predator 1
prematurely 1
premise 1
present 1
presley 2
pressure 1
previous 1
problem 1
problems 1
prompting 1
psychological 1
psychologically 1
psychosis 2
quartet 1
racist 1
rape 1
rearms 1
reduces 1
relatively 1
religious 5
remain 1
reputation 1
resolve 1
result 1
retrieval 1
retrieving 1
returns 1
rights 1
riot 1
risks 1
roosevelt 1
sacked 1
same 1
sane 1
scepticism 1
schizophrenia 1
sect 1
segregation 1
semi 1
sexual 1
she 3
signs 1
slavery 1
so 1
southern 1
soviet 2
speer 1
st 1
stalin 1
states 3
stead 1
still 2
strong 1
suicide 1
surgery 1
surrounds 1
survived 2
symptoms 1
system 1
takes 1
team 1
technology 1
terraplane 2
that 12
the 37
theatre 1
their 1
then 1
there 3
therefore 2
they 2
this 10
those 1
through 1
time 2
to 24
took 1
transferred 1
transpire 1
travel 2
tries 1
trotsky 2
turns 2
unclear 1
uncomfortable 1
understands 1
unexpectedly 1
union 2
united 3
unstable 1
use 2
ussr 1
vacuum 1
valentinian 2
victory 1
view 1
virtual 1
war 4
was 4
wasteland 1
when 2
where 2
whether 1
which 2
who 2
widespread 1
winston 1
with 2
within 1
woman 1
world 10
worsens 1
would 1
york 1
younger 1
