4031607
/m/0bdghc
/m/0bdghc
Darren Shan
2000-01-04
{"/m/0kflf": "Vampire fiction", "/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/0fdjb": "Supernatural", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 6
about 4
act 1
address 2
after 1
age 1
also 1
an 1
and 22
annie 2
are 1
around 1
arrives 1
as 1
at 1
away 1
back 4
bad 1
become 1
becomes 1
been 1
best 1
bites 1
bitten 1
blood 2
but 2
buying 1
by 4
called 1
caused 2
cirque 2
comes 1
comics 1
convinces 1
crawl 1
crepsley 6
cure 3
darren 15
darrens 1
deadly 1
decided 1
decides 2
distracted 1
disturbing 1
doctors 1
down 1
du 2
early 1
ends 1
enraged 1
entire 1
especially 1
exchange 1
fantastic 1
fascinated 1
find 1
finds 2
flees 1
for 1
freak 4
friend 1
friends 1
from 2
get 2
gets 3
giant 1
give 1
gives 1
go 1
goes 3
got 1
grown 1
half 1
halfbelieves 1
hands 1
has 2
have 1
he 6
her 4
him 5
his 5
home 2
horrified 1
horror 2
hospital 1
house 1
how 1
human 1
idea 1
in 3
into 1
is 3
it 4
keep 1
leave 1
leonard 1
leopard 1
lets 1
life 1
likely 1
lost 1
madam 4
master 1
meet 1
memorizes 1
mesmerized 1
most 1
mr 7
must 1
mysterious 1
no 2
nowhere 1
observes 1
octa 4
of 2
on 2
one 1
only 1
other 1
out 3
over 1
paralyzing 1
person 1
pitches 1
plan 1
plays 1
poisonous 1
reading 1
ready 1
ring 1
ripping 1
says 1
screams 1
secret 1
sees 1
send 1
shan 1
show 4
shut 1
sister 1
spider 1
spiders 1
steals 1
steve 13
stories 1
takes 1
taking 1
talk 1
tall 1
taste 1
teacher 1
tell 1
tells 1
that 3
the 17
theater 2
their 2
then 1
there 1
they 1
this 1
ticket 1
tickets 2
to 12
tries 1
turning 1
turns 1
two 1
up 3
vampire 2
vampires 1
viewing 1
walks 1
way 1
werewolves 1
what 1
when 3
which 1
will 1
window 1
with 2
young 1
younger 1
