20194488
/m/04y7414
/m/04y7414
Owen Johnson
1912
a 22
about 2
across 1
action 1
advises 1
affairs 1
afforded 1
after 1
against 1
already 1
also 4
an 4
and 18
andover 1
antagonizing 1
antisociety 1
are 1
around 2
arriving 1
as 8
ass 1
at 4
avoided 1
back 1
background 1
bangs 2
basic 1
battles 1
be 1
bearing 1
beat 1
became 2
become 1
better 1
big 1
bit 1
bob 1
bones 1
borne 1
bound 1
building 1
bunch 1
but 5
by 5
called 1
campus 1
captain 1
cautions 1
ceremony 1
changes 1
chapter 1
chapters 1
characters 1
check 1
class 7
classmate 1
classmates 2
club 1
coach 1
coaches 1
come 1
comic 1
concentrate 1
concludes 1
contests 1
counsels 1
dana 1
days 2
deferring 1
described 1
despite 2
dining 2
dinner 1
disappointed 1
distinguish 1
do 1
dont 1
drama 1
dramatically 1
dress 1
drills 1
each 1
eager 1
election 1
encouragement 1
end 2
enthusiastically 1
established 1
evaluates 1
evening 1
eventually 1
explaining 1
extracurriculars 1
feels 1
fellow 1
fight 1
finance 1
first 3
following 1
football 3
for 9
freshman 1
freshmen 1
friend 1
friendships 1
from 3
fun 1
get 1
gets 2
gimbal 3
go 2
good 1
gridiron 2
group 3
had 1
hands 1
hard 1
has 2
haven 1
having 1
he 6
heroics 1
him 7
himself 3
his 16
home 1
house 1
huge 1
hungerford 2
hunter 1
importance 1
imposing 1
in 13
incredible 1
influential 1
instantly 1
is 13
it 1
joe 1
johnson 1
joyous 1
judge 1
junior 1
just 1
juvenile 1
knowledge 1
known 1
knows 1
later 2
lawrenceville 2
leader 1
leadership 2
leading 1
leads 1
learns 1
lebaron 3
lights 1
listens 1
lodgings 1
looking 1
main 1
make 3
making 1
man 2
match 1
mccarty 1
mcnabb 1
meets 5
members 1
middleweight 1
more 4
motivation 1
name 2
nervous 1
new 2
news 1
nixing 1
no 3
not 2
of 19
off 1
older 1
on 11
one 3
open 2
openly 1
opens 1
opponent 1
other 2
outplays 1
overcame 1
part 1
partier 1
parts 1
performs 1
personal 1
persuades 1
physically 1
picture 1
place 1
placed 1
plan 2
play 1
plot 1
poised 2
pokes 1
political 1
poor 1
position 1
positioning 1
power 3
practice 2
praise 1
preferring 1
prep 1
presence 1
proclaims 1
put 1
recap 1
recognize 1
reconnects 1
recounted 1
regan 3
relief 1
reputation 1
resents 1
reserved 1
reynolds 2
rival 1
rivalry 1
rogers 2
roughhouse 1
school 2
scrimmage 1
scrub 1
seating 1
secret 2
see 1
select 1
selfawareness 1
senior 2
seriousness 1
several 1
shake 1
shifts 1
short 1
size 1
skull 1
slow 1
social 1
society 4
some 1
son 1
sophomore 2
sophomores 2
sparingly 1
spent 1
stance 1
stand 1
start 1
starting 1
stops 2
story 2
stover 29
suddenly 1
system 2
tackling 2
take 1
taking 1
talk 1
tap 1
team 2
tells 1
terms 1
that 3
the 42
their 1
them 2
then 2
this 1
though 1
threatening 1
three 1
time 1
to 16
tom 1
tompkins 2
tone 1
tough 4
toward 1
train 2
troubled 1
turning 1
two 2
uncertain 1
under 1
undersized 1
up 1
uses 1
varmint 1
very 1
vividly 1
volunteers 1
waiter 1
we 1
week 1
well 3
what 2
when 2
where 1
which 1
while 3
who 7
will 3
win 1
wing 1
winning 1
with 11
word 1
world 1
wrestling 5
yale 1
years 1
you 1
your 1
yourself 1
