306191
/m/01sk1g
/m/01sk1g
Thomas Pynchon
1990
14yearold 1
184 1
24fps 4
60s 1
a 21
about 1
above 1
abruptly 1
accidentally 1
accomplice 1
achieves 1
acquaintances 1
action 1
actually 1
addict 1
after 2
again 1
against 1
agent 2
agents 1
all 3
allowing 1
allows 2
along 1
also 1
america 1
an 1
and 19
antidrug 1
are 3
as 3
at 2
atman 2
attracted 1
away 1
became 2
because 1
become 1
been 2
beginning 1
begun 1
betrayal 1
bigmoney 1
book 2
bookpeople 1
bring 2
brock 10
but 3
by 1
cahoots 1
california 1
called 1
caused 1
checks 1
circumstance 1
collective 1
college 1
come 2
comes 1
controlled 1
country 1
create 2
cross 1
cult 1
cuts 1
daughter 1
day 2
de 1
dea 3
deal 1
death 2
depraved 1
different 1
disability 1
disappeared 1
dives 1
do 1
document 1
done 1
dope 1
double 1
down 1
drugenforcement 1
drugs 1
due 1
during 1
ends 4
enormous 1
era 1
everyone 1
exhippie 1
facto 1
fallout 1
family 2
fascists 1
federale 1
fictional 1
film 1
finds 4
flee 1
flies 1
for 3
forces 1
freedom 1
frenesi 9
friends 1
from 4
funding 3
funds 1
gates 2
get 1
goal 1
government 1
has 6
he 5
head 1
heavily 1
hector 3
height 1
helicopter 2
help 1
her 6
hide 1
hiding 1
him 2
hinges 1
hippie 2
hippies 1
his 4
house 1
hovering 1
ideal 1
ideals 1
in 13
intends 1
interest 1
into 1
is 8
its 1
keep 1
killing 1
ladder 1
later 1
leader 1
life 1
like 1
living 1
longer 1
looking 1
loose 1
loss 1
many 1
math 1
mechanics 1
meet 1
member 1
members 1
membership 1
mental 1
met 1
militant 1
mother 1
motivation 1
motives 1
movie 1
mystified 1
nation 1
nearly 1
need 1
net 1
never 1
no 1
not 1
novel 1
now 1
of 32
old 1
omnipotent 1
on 4
one 1
opens 1
or 1
order 2
other 1
out 3
own 1
past 2
people 2
personality 1
pet 1
pilot 1
platoon 1
playing 1
pomp 1
pr 3
prairie 8
present 3
professor 1
project 1
protection 1
provides 1
reagan 1
receiving 1
recount 1
reelection 1
republic 1
required 1
resurfacing 1
reunion 3
river 1
road 1
rock 1
roll 1
ronald 1
safety 1
scene 1
searching 1
seceded 1
seeks 1
set 1
sex 1
she 4
sixties 1
smokers 1
snatch 1
something 1
star 1
state 1
states 2
story 4
stranded 1
subject 1
surf 1
surrounding 1
surveillance 1
suspects 1
take 1
television 1
telling 2
thanatoid 1
thanatoids 1
that 3
the 43
their 5
theme 1
they 1
this 2
through 2
tie 1
to 20
together 1
transgressions 1
tries 2
tube 2
ubiquity 1
uncontrollably 1
united 2
until 1
up 5
various 1
vengeful 1
vond 3
war 1
weed 2
what 1
wheeler 1
when 1
where 1
which 2
while 1
who 6
whom 1
willing 1
willingly 1
window 1
with 10
witness 1
working 3
year 1
yearly 1
zoyd 5
zuiga 2
