24746606
/m/0807vd0
/m/0807vd0
Michael Scott

{"/m/01jfsb": "Thriller", "/m/01hmnh": "Fantasy"}
a 8
about 1
accomplish 1
achieving 1
acquaintance 1
across 1
after 7
against 1
agnes 1
ago 1
agree 1
alcatraz 2
alert 1
alerting 1
alive 1
amends 1
an 2
and 24
anticipation 1
aoife 5
approach 2
arc 1
archon 1
are 6
as 1
at 1
aunt 2
back 3
battle 1
be 2
been 2
billy 3
black 1
book 3
both 1
bounty 1
bring 1
but 3
by 8
call 1
came 1
can 1
capture 1
car 1
caution 1
cliff 1
coatlicue 3
codex 1
companion 1
complete 1
comte 1
conquer 1
count 1
cucubuth 1
danu 1
dare 2
dark 5
de 1
declared 1
dee 7
disappearance 1
divided 1
do 1
doing 1
dominate 1
doorstep 1
downfall 1
dr 2
dragged 1
earth 2
elder 2
elders 3
enchantment 1
encounter 1
end 1
england 1
enlists 1
escape 1
escapes 1
exactly 1
exile 1
existed 1
experience 1
fact 1
failed 1
failure 1
fearsome 1
female 1
fight 1
filled 1
final 1
finds 1
fire 3
flamel 1
flamelpernelle 1
flamels 2
flees 1
following 2
for 3
francisco 3
fraught 1
friend 1
from 4
fused 1
gathering 1
get 1
given 1
go 1
gods 1
had 1
hanger 1
has 3
have 1
hawk 1
he 6
head 1
help 4
helping 1
her 1
herself 1
him 3
himself 1
his 10
home 3
hooded 1
hookhanded 1
hope 1
house 2
houseboat 1
hunters 1
immortal 2
in 9
initially 1
into 3
is 4
island 2
it 2
its 1
japanese 1
joan 1
joined 2
josh 9
kid 1
kill 1
last 1
learning 1
leaves 1
leaving 1
legendary 1
like 1
limousine 1
litha 1
london 2
looking 1
loose 2
lord 1
lost 1
lucky 1
machiavelli 1
magic 2
make 1
makes 1
man 2
master 3
masters 2
meant 1
meeting 2
missing 2
mission 1
missions 1
monster 1
monsters 1
mother 1
mysterious 1
niccol 1
nicholas 4
niten 3
not 1
now 1
of 10
off 1
office 1
old 1
on 5
once 1
onto 1
other 1
others 2
out 3
outlawed 1
outside 1
over 1
owned 1
pages 1
pair 2
palamedes 1
perenelle 3
perry 1
plain 1
plan 1
planet 1
plans 2
point 1
possession 1
power 1
predestined 1
prepares 1
prometheus 2
pushes 1
race 1
races 1
realizes 1
realms 1
rescue 1
retrieve 1
return 3
reunited 1
revenge 1
reyes 1
saintgermain 1
salisbury 1
san 3
sausalito 1
scathach 2
scuffle 1
see 1
seek 1
sends 1
separated 1
set 2
several 1
shadow 1
shadowrealm 1
shakespeare 1
shortly 2
sister 1
so 1
some 1
sophie 7
stay 1
still 2
stop 1
store 2
stranger 1
summon 1
summoning 1
swords 1
take 1
taken 1
takes 1
talis 1
talking 1
tammuz 1
tasked 1
taught 1
tells 1
ten 1
tense 1
that 5
the 41
their 8
them 6
themselves 1
they 14
this 1
thousands 1
through 1
to 32
together 2
track 1
trapped 2
travel 1
turn 1
turns 1
twin 1
twins 1
two 1
under 1
unwittingly 1
up 1
utlaga 1
very 1
virginia 2
waiting 1
wakes 1
walking 1
wanted 1
wanting 1
way 1
weak 1
were 1
what 2
when 3
where 1
while 3
who 5
william 1
with 10
world 1
wrath 1
xibalba 1
years 1
