24977554
/m/09ggpvj
/m/09ggpvj
Richelle Mead
2008-11-13
{"/m/02vzzv": "Urban fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/04n87l": "Dark fantasy", "/m/072lff": "Paranormal romance"}
a 28
about 4
academy 5
accepts 1
accompany 1
accusations 1
accused 1
adrian 7
after 5
agrees 2
aid 2
airport 1
alberta 4
all 2
almost 1
along 2
also 2
although 1
ambrose 1
an 2
and 68
anger 2
another 3
any 2
appear 1
approached 2
are 9
arent 1
army 1
around 1
arrive 1
as 10
ask 1
asks 2
assist 1
at 4
attack 3
attacked 3
attacks 1
attempts 2
attention 1
automatically 1
away 1
back 9
baggage 1
battle 1
be 8
beating 1
beats 1
becomes 2
been 3
before 2
begins 2
begs 2
behavior 1
behind 2
being 1
believe 1
believed 1
believes 2
best 1
between 3
biggest 1
blood 1
body 1
book 1
boring 1
brother 1
but 10
by 9
bye 1
cabin 1
call 2
called 2
came 1
can 3
captured 1
carrying 1
castile 1
caused 1
causing 1
caves 4
chance 2
changes 1
christian 15
church 1
clean 1
close 2
closer 1
club 2
collapses 1
college 1
combine 1
come 2
comes 4
coming 1
complains 1
compulsion 1
confirming 1
connection 1
conversation 1
counselor 1
counterattack 1
court 6
courtroom 1
crazy 2
cut 1
dark 2
dashkov 1
day 2
dead 1
death 1
decides 1
defeat 1
destroy 1
dhamphir 2
dhamphirs 3
dhampir 1
didnt 1
different 1
dimitri 27
discuss 1
do 2
does 2
dont 1
dormitory 1
down 1
drawing 1
during 2
eddie 4
elementary 1
emotion 1
emotional 1
emotions 1
end 1
engagement 1
enlist 1
entry 1
even 2
eventually 1
ever 2
everyone 2
everything 1
exam 1
explanation 1
fear 1
feelings 1
fellow 1
fiercely 1
fight 1
fighting 2
figured 1
figures 1
files 1
fill 1
finally 2
find 1
finds 2
fire 1
first 4
flow 1
for 5
forced 3
forces 2
fortune 4
found 1
freezes 1
friend 1
from 3
future 1
gains 1
get 2
gets 1
ghost 2
ghosts 1
give 1
given 1
gives 2
go 8
goes 2
going 3
good 1
groups 1
growing 1
guard 1
guardian 1
guardians 5
guarding 3
guards 1
handle 1
happened 1
harness 1
has 3
have 3
he 13
head 1
heads 1
help 2
her 21
herself 5
hiding 1
him 5
his 4
hold 1
holding 1
hometown 1
horrible 2
hostages 2
human 1
if 1
immense 1
in 16
including 1
increases 1
infirmary 2
inside 1
insists 2
instead 1
intense 1
into 5
invitation 1
is 33
it 3
jail 2
janine 4
jealous 1
jesse 8
join 2
just 2
kidnapped 1
kill 1
killed 2
kissing 1
knowing 1
knowledge 1
knows 1
later 2
lead 1
learn 1
learns 4
leave 2
leaves 2
led 1
left 1
less 1
let 3
lies 1
life 1
limited 1
lissa 30
listens 2
loners 1
lose 2
loser 1
loses 1
love 1
loves 1
lying 1
maddeningly 1
made 1
magic 2
mainly 1
make 1
making 1
man 1
mana 1
manic 1
manicure 1
many 3
marriage 1
mason 6
meanwhile 1
meet 2
meets 3
migraine 3
mn 2
money 1
mood 1
more 2
moroi 8
most 2
mother 1
much 2
necessary 1
need 1
needs 1
next 2
night 1
not 2
novices 5
obeys 1
of 15
off 6
old 1
on 7
once 2
one 2
only 1
opinion 1
or 1
ordered 1
ordering 1
other 5
others 1
out 8
outside 1
over 1
ozera 2
paired 3
papers 1
parents 1
person 1
placed 1
plan 1
plane 3
planning 1
pleasant 1
positive 1
power 1
practicing 1
prediction 1
predicts 1
prepares 1
prison 1
promises 1
protect 1
purpose 1
put 1
qualifying 1
queen 4
quickly 1
ralf 2
rather 1
reaches 1
react 1
read 1
reading 1
realizes 2
really 1
refuel 1
reinforcements 1
reluctantly 1
resigns 1
rest 1
retreat 1
retreating 1
returns 1
reveal 2
reveals 2
ride 2
rose 62
run 1
runs 1
rush 1
safe 1
says 3
school 4
screw 1
secret 1
security 1
see 2
seeing 1
sees 2
send 1
sends 1
sense 3
senses 2
sent 2
settles 1
several 4
shakes 1
she 36
shock 1
shrugs 1
siberia 1
silver 1
skills 1
sleeping 1
slept 1
small 2
snaps 1
sneaks 1
snow 1
so 3
something 2
soon 1
sore 1
soul 1
spirit 3
spy 1
stake 1
start 1
started 1
state 1
stay 3
stayed 1
stays 1
steps 1
still 2
stop 2
storm 1
strigoi 11
struck 1
students 2
stunned 1
subdues 1
successfully 1
sudden 1
suddenly 1
supposed 1
surprisingly 1
suspicious 1
swings 1
take 2
takes 3
talk 1
tasha 1
tatiana 4
taunts 1
teachers 4
teacherstudent 1
team 1
teller 3
tells 4
temper 1
terribly 1
terrified 1
testify 2
than 1
that 26
the 63
their 6
them 7
then 2
there 1
they 7
thinks 1
this 4
though 2
threatens 2
through 1
time 2
to 78
together 2
told 2
torturers 1
tortures 1
treasure 1
treasures 1
treated 1
trial 3
tries 2
true 1
truly 1
turns 2
twist 1
typically 1
ultimately 2
unscheduled 1
up 3
use 2
users 1
uses 1
using 1
usual 1
value 1
victor 5
violent 1
virginity 1
visit 1
visited 1
voices 1
warn 1
was 4
wasnt 1
way 1
weapon 1
were 1
what 4
when 7
whenever 1
where 8
which 6
while 8
who 8
whore 2
will 6
willingly 1
window 2
with 22
without 1
wont 1
woods 1
worse 1
would 3
wrong 1
you 3
young 1
zeklos 1
