15135832
/m/03hjp7b
/m/03hjp7b
Beryl Bainbridge
1998-11
1846 2
1854 1
a 5
affluent 1
amateur 1
an 2
and 5
are 1
at 2
attractive 1
bears 1
believes 1
bisexual 1
brothel 1
by 3
chapters 1
characters 2
children 1
class 1
crimea 1
death 1
dr 1
ending 1
english 1
fate 1
fortune 1
foundling 1
four 1
from 1
geologist 1
george 1
go 1
hardy 3
he 3
heir 1
him 1
his 2
in 8
inkerman 1
intellectual 1
is 3
jones 1
last 1
learns 1
leaves 1
lifestyle 1
linked 1
liverpool 3
love 1
lovestruck 1
myrtle 1
needed 1
novel 1
onetime 1
other 1
outside 1
performer 1
photographer 1
photography 1
pompey 1
potter 1
prop 1
provide 1
sevastopol 1
six 1
starting 1
story 1
street 1
sudden 1
surgeon 1
that 1
the 5
three 1
to 3
told 2
undeniably 1
united 1
war 3
where 1
who 2
with 1
would 1
