1384714
/m/04y9tq
/m/04y9tq
John Steakley
1992-05-05
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 19
adam 3
addition 1
after 1
against 4
agent 1
aging 1
aided 1
all 1
also 1
an 1
and 13
annabelle 1
are 3
as 5
at 3
attack 1
attempt 2
away 1
battles 1
be 3
beaten 1
begin 1
begins 1
blessed 1
book 2
bullets 3
but 3
by 7
can 1
carl 3
carrying 1
cat 2
catlin 1
characters 1
cherry 1
cleaning 1
closes 1
collecting 1
collects 1
command 1
compared 1
creating 1
cross 1
crow 3
dead 1
deadly 1
depressed 1
detector 1
develops 1
difficulty 1
dispatching 1
drinking 1
ends 1
engage 1
ensues 1
epiclevel 1
essentially 1
events 1
everyone 1
exception 1
fantastically 1
fast 1
father 3
favorite 1
fee 1
felix 4
find 1
for 3
formation 1
from 1
government 1
gunman 1
has 2
have 1
he 2
him 2
his 2
hoped 1
hosts 1
hotel 1
humans 1
in 4
inc 2
including 1
interrupted 1
introducing 1
is 1
it 1
jack 9
key 1
killed 1
knowledgeable 1
known 1
lead 1
leadership 1
local 1
main 1
manager 1
master 2
members 1
met 1
mexico 1
motel 2
named 1
nest 1
new 2
novel 1
now 1
of 7
office 1
on 1
opens 1
out 1
particularly 2
party 3
payment 1
pistol 1
plan 1
pope 1
portrayed 1
powerful 2
priest 1
proves 2
realize 1
recruits 1
rescue 1
residence 1
resource 1
returns 1
role 1
said 1
second 1
seem 1
sent 1
series 1
setting 1
shaken 1
silver 5
skilled 1
slaughter 1
slaughters 1
some 2
spirited 1
stage 1
suicidally 1
sure 1
taking 1
team 6
that 2
the 28
their 2
these 1
they 1
thwarting 1
to 12
tone 1
tool 1
townsfolk 1
ultimately 1
use 2
used 1
useful 1
using 1
vampire 6
vampires 9
vatican 1
weapon 1
weaponsmith 2
where 2
which 2
while 1
who 1
wild 1
with 5
within 1
working 1
young 1
