1530352
/m/058fk3
/m/058fk3
Cormac McCarthy
1998-05-12
152 1
a 18
abandoned 1
about 1
across 1
adversary 1
after 4
alamogordo 1
all 2
also 1
an 2
and 11
are 2
areas 1
around 1
as 1
at 2
attempts 1
away 1
barely 1
be 1
become 1
before 1
beneath 1
billy 8
blood 1
body 1
border 1
brothel 3
but 3
by 4
cabin 1
cattle 2
chihuahua 1
cities 1
ciudad 1
claimed 1
comfort 1
conclusion 1
contact 1
convoluted 1
couple 2
cowboys 1
crossing 1
cutting 1
death 3
decades 1
defense 1
denies 1
department 1
detailed 1
details 1
devastated 1
dissuade 1
domain 1
dream 1
drifting 1
drought 1
during 1
dying 1
eduardo 4
el 2
eminent 1
enough 1
epileptic 1
epilogue 1
face 1
faces 1
falls 1
family 1
far 1
feels 1
few 1
fight 2
finds 2
for 1
formidable 1
from 2
future 1
girl 1
grady 10
grande 1
he 5
help 1
her 2
highway 1
him 3
his 2
home 1
homeless 1
horses 3
hotels 1
however 1
hurries 1
in 15
industry 1
into 1
is 4
it 2
john 10
jurez 2
kills 1
kind 1
knife 1
leave 1
life 3
live 1
living 2
long 1
love 3
magdalena 3
make 1
man 3
many 1
marry 1
master 1
may 1
meet 1
meeting 1
meets 1
meridian 1
mexico 3
military 1
morgue 1
mortally 1
murders 1
mysterious 1
new 2
next 1
not 2
obligated 1
of 7
on 2
open 1
opens 1
owners 1
pages 1
paso 2
plans 1
pretty 2
prison 1
prostitute 1
ranch 2
ranches 2
range 1
recently 1
reminiscent 1
renovates 1
rio 1
river 1
run 1
several 1
she 1
shelter 2
short 1
showdown 1
sidekick 1
south 1
southwest 1
state 1
steals 1
story 1
struggling 1
survives 2
suspects 1
takes 2
tells 1
texas 1
that 1
the 22
there 1
though 3
throat 1
through 1
tiburcio 1
to 8
together 1
training 1
turning 1
uncertain 1
underpass 1
unlike 1
us 1
visit 1
who 3
with 4
work 1
working 1
wounded 1
years 1
young 2
