2300302
/m/0721l6
/m/0721l6
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
20000 1
a 16
about 4
accepts 2
accompanied 1
adopted 2
advances 1
after 2
again 1
agreed 1
alibis 1
all 1
also 2
an 4
and 23
another 4
anthea 2
appear 1
archdeacon 1
are 4
arranged 1
as 6
asked 1
asks 2
assuming 1
at 3
attended 1
back 1
barrow 2
barrowthey 1
be 2
because 2
been 4
before 1
blows 1
body 1
bodyguards 1
boulder 1
brabazon 1
bradburyscott 1
brains 1
brings 1
britain 1
broad 1
but 1
by 10
came 1
capable 1
card 1
challenging 1
church 1
clotilde 7
clue 2
clues 1
coffee 2
collects 1
coma 1
comes 1
committed 1
companions 1
conclusion 1
consciousness 1
cooke 5
could 2
crawford 1
crime 3
criminal 1
day 1
days 1
death 4
deceased 1
decide 1
decides 1
depart 1
dies 1
different 1
disapproved 1
discovers 1
discussed 1
doing 1
during 2
each 1
elizabeth 1
else 1
emlyn 1
employed 1
encountered 1
engaged 2
enough 1
enquiries 1
enters 1
errand 1
even 1
evening 2
examined 1
extend 1
extra 1
fabrication 1
famous 1
father 1
fee 1
feels 1
few 3
first 1
for 10
forgets 1
form 1
fourteen 1
free 1
friend 2
from 2
gardening 1
gardens 1
get 1
girl 4
glynne 2
go 1
going 1
great 1
greenhouse 1
group 3
guide 1
had 11
happened 1
has 2
have 1
he 9
head 1
headmistress 1
health 1
her 15
hid 1
hike 1
his 3
holiday 1
hospital 1
houses 1
how 1
however 1
hunt 2
if 1
immediately 1
in 9
incarcerated 1
inherit 1
inquiry 1
instead 1
instructed 1
instructions 1
interested 1
into 2
invitation 2
invited 1
involved 1
is 8
it 4
item 1
jason 1
joanna 1
just 1
keep 1
killed 1
knocked 1
knows 2
ladies 1
later 1
lavinia 3
learns 2
least 1
leave 1
left 1
like 1
london 1
long 1
look 1
love 2
lying 1
marple 24
marry 2
marrying 1
may 1
meets 1
member 2
mere 1
merely 1
met 2
michael 10
milk 1
millionaire 1
misidentify 1
miss 40
moment 1
morning 2
most 2
moves 1
mr 5
mrs 1
murder 2
murdered 1
named 1
nearby 1
neerdowell 1
neither 1
news 1
next 3
night 4
nights 1
nora 1
not 3
nowdestroyed 1
oclock 1
odd 1
of 21
on 9
one 2
only 1
or 1
order 1
other 1
out 1
over 1
parents 1
part 1
party 1
pathologist 1
people 1
physically 1
post 1
previous 1
previously 1
price 1
prior 1
prison 1
professor 3
promptly 1
protect 1
psychologist 1
pushed 1
rafiel 13
ready 1
receives 1
recently 1
related 1
request 1
retired 1
return 2
returns 1
reveals 2
reviving 1
rockslide 1
room 1
same 1
school 1
search 1
secrecy 2
see 3
seemed 1
servant 1
set 1
she 17
sisters 5
so 1
solving 1
some 1
someone 1
something 1
son 1
soon 1
spend 1
stand 1
stay 2
stays 1
succeeds 1
suggesting 1
suggests 2
suit 1
surprised 1
suspects 1
suspicion 1
sworn 1
takes 1
talk 2
talking 1
talks 1
tell 1
tells 2
temple 9
that 18
the 40
their 3
them 2
then 4
there 1
they 6
thinks 1
though 1
three 3
throw 1
thus 1
time 1
to 30
told 1
tour 8
toward 1
train 1
travels 1
trip 1
turned 1
turns 1
two 2
types 1
unconscious 1
uninterested 1
unspecified 1
up 2
verity 8
visit 1
visited 1
wait 1
wakes 1
wanstead 3
warm 1
was 10
wedding 1
were 1
what 1
when 4
where 2
which 4
while 2
whistle 1
who 3
whom 2
will 2
with 4
without 1
woman 2
would 1
wouldnt 1
written 1
