5365144
/m/0dhk_c
/m/0dhk_c
Ian Rankin
1992
a 4
accident 1
actor 1
after 1
an 1
and 3
andrew 1
are 1
becomes 1
before 1
bodies 1
brothel 1
by 1
captures 1
circle 1
detective 1
disappears 1
edinburgh 1
elizabeth 1
et 1
even 1
evident 1
falls 1
famous 1
fiery 1
found 1
good 1
gregor 1
has 1
him 1
his 3
hospital 1
in 1
increasingly 1
inspector 1
intention 1
interviews 1
is 2
it 1
jack 3
jacks 1
john 1
kinnoul 1
life 1
local 2
locked 1
macmillan 1
many 1
maybe 1
member 1
mp 2
murdering 1
name 1
of 3
on 2
own 1
police 1
political 1
popular 1
problems 1
psychiatric 1
rab 1
raid 1
rebus 1
seemingly 1
social 1
somebody 1
standing 1
stripping 1
suspicion 1
sympathetic 1
that 1
the 2
to 1
two 1
up 2
when 1
who 1
wife 2
with 1
years 1
young 1
